SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 37503, 47341, 780, 2, 1, 5, 847962940, 807024996, 17426501, 
2, 88925, 95819, 780, 4, 5, 5, 1463796669, 1487723885, 11496244, 
3, 2027, 91679, 780, 2, 2, 5, 22055428, 925966472, 15055525, 
4, 53038, 99355, 780, 5, 9, 5, 556941000, 850079384, 9727137, 
5, 22610, 91801, 780, 2, 5, 5, 189954825, 618148146, 10916866, 
6, 27595, 96549, 780, 3, 6, 5, 219449410, 491127238, 9791798, 
7, 42220, 71129, 780, 4, 6, 5, 204745287, 529567816, 8779877, 
8, 55768, 30570, 780, 3, 2, 5, 323106689, 85425459, 16943389, 
9, 94205, 31137, 780, 7, 3, 5, 890572223, 242565153, 10524343, 
10, 99383, 48062, 780, 7, 4, 5, 716784169, 219457076, 8801828, 
11, 120278, 44955, 780, 7, 3, 5, 878263636, 483368925, 16283523, 
12, 81692, 114932, 780, 3, 9, 5, 644587102, 466520367, 6920692, 
13, 0, 110521, 780, 0, 5, 5, 0, 274074321, 10667836, 
14, 77127, 89465, 780, 2, 7, 5, 199507571, 164477033, 7636543, 
15, 99564, 129730, 780, 6, 6, 5, 348042032, 265688463, 3268428, 
16, 93189, 115360, 780, 3, 7, 5, 455843499, 219899667, 7552146, 
17, 401, 122128, 780, 2, 5, 5, 519741, 194039896, 9558318, 
18, 108636, 203077, 780, 8, 11, 5, 718806221, 962119078, 8682777, 
19, 146124, 39394, 780, 8, 6, 5, 353917370, 27994529, 5317295, 
20, 61085, 142464, 780, 4, 9, 5, 132110353, 141826772, 7369812, 
21, 89930, 50133, 780, 6, 3, 5, 210533321, 46695467, 4162018, 
22, 30809, 220520, 780, 3, 8, 5, 56715525, 821853237, 6465175, 
23, 63102, 163687, 780, 5, 5, 5, 207285225, 791255493, 8083209, 
24, 98519, 31147, 780, 4, 5, 5, 321008285, 14382911, 8269926, 
25, 74353, 112327, 780, 4, 5, 5, 377380230, 86376699, 4470884, 
26, 23926, 131457, 780, 2, 6, 5, 32511563, 250777142, 6975979, 
27, 78810, 87734, 780, 5, 7, 5, 73958793, 113643455, 6198259, 
28, 48748, 47391, 780, 4, 3, 5, 49526871, 11800676, 2966542, 
29, 384, 45686, 780, 1, 3, 5, 730261, 33947811, 2764700, 
30, 68814, 89164, 780, 7, 5, 5, 128413232, 81810117, 10313794, 
31, 58102, 66334, 780, 3, 5, 5, 20421834, 62915162, 13086485, 
32, 149713, 128934, 780, 4, 7, 5, 871763752, 167180000, 4855590, 
33, 27318, 96071, 780, 5, 8, 5, 40558590, 42050409, 9375524, 
34, 89835, 138083, 780, 4, 6, 5, 348183337, 216761071, 6976366, 
35, 51580, 101957, 780, 5, 4, 5, 75744280, 32861551, 5164643, 
36, 136762, 108839, 780, 3, 4, 5, 1103548586, 71402035, 6202379, 
37, 85076, 50685, 780, 7, 4, 5, 135410456, 31144901, 9605905, 
38, 51964, 77085, 780, 5, 5, 5, 108445955, 70264622, 10806049, 
39, 65902, 150087, 780, 3, 5, 5, 135296705, 300610072, 11084307, 
40, 76962, 149785, 780, 6, 10, 5, 85792128, 79933016, 6877231, 
41, 88766, 146921, 780, 6, 11, 5, 121231075, 194818606, 9385213, 
42, 97748, 72997, 780, 3, 4, 5, 83583920, 30459412, 5109357, 
43, 29317, 134533, 780, 4, 5, 5, 3823876, 204990020, 3018741, 
44, 26301, 173042, 780, 2, 7, 5, 108734518, 219174427, 12069387, 
45, 139899, 55003, 780, 12, 4, 5, 337323510, 112072184, 6548681, 
46, 40178, 108914, 780, 4, 6, 5, 20802704, 36264842, 7281144, 
47, 100248, 120308, 780, 4, 5, 5, 229359833, 435989655, 9430249, 
48, 77247, 139820, 780, 5, 5, 5, 192355629, 66762148, 3230186, 
49, 149324, 57939, 780, 5, 2, 5, 322158770, 76086980, 3559947, 
50, 60229, 97296, 780, 5, 4, 5, 23187756, 83561773, 3736370, 
51, 79937, 105330, 780, 5, 7, 5, 59595050, 48841459, 4523674, 
