SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 130, 1, 1, 10.5363100898568, Rx, 
1, 132, 1, 1, 10.9695800171125, Rx, 
1, 134, 1, 1, 10.2825230821682, Rx, 
1, 135, 1, 1, 10.4318503731104, Rx, 
1, 136, 1, 1, 11.3875661299923, Rx, 
1, 239, 1, 1, 25.3234275332062, Lightning, 
1, 281, 1, 1, 24.9798432654211, Accidental, 
1, 328, 1, 1, 32.6377597164129, Accidental, 
2, 124, 1, 1, 6.51334826730603, Accidental, 
2, 135, 1, 1, 11.2596943807026, Rx, 
2, 139, 1, 1, 11.7282852959543, Rx, 
2, 142, 1, 1, 12.6670220107621, Rx, 
2, 160, 1, 1, 10.5937239874185, Rx, 
2, 161, 1, 1, 11.472497376662, Rx, 
2, 181, 1, 1, 21.989881136533, Lightning, 
2, 206, 1, 1, 41.1461619982151, Accidental, 
2, 221, 1, 1, 42.714876644942, Accidental, 
2, 228, 1, 1, 34.0346688335196, Lightning, 
2, 250, 1, 1, 26.0513516995961, Lightning, 
2, 264, 1, 1, 42.9186062733804, Accidental, 
2, 327, 1, 1, 14.1959206871887, Lightning, 
2, 357, 1, 1, 12.9467871314517, Lightning, 
3, 87, 1, 1, 1.12803400777533, Accidental, 
3, 158, 1, 1, 10.1135254545696, Rx, 
3, 159, 1, 1, 11.184765593201, Rx, 
3, 160, 1, 1, 10.7317882787094, Rx, 
3, 162, 1, 1, 11.1908685233462, Rx, 
3, 163, 1, 1, 10.6179842823946, Rx, 
3, 208, 1, 1, 21.0349622611035, Lightning, 
3, 223, 1, 1, 21.9212930122339, Lightning, 
3, 253, 1, 1, 24.4434935467362, Accidental, 
4, 137, 1, 1, 11.4412415428125, Rx, 
4, 141, 1, 1, 18.5933066478723, Accidental, 
4, 146, 1, 1, 14.6476905678371, Rx, 
4, 147, 1, 1, 13.5116908597297, Rx, 
4, 148, 1, 1, 16.3897911687523, Rx, 
4, 149, 1, 1, 15.646132084904, Rx, 
4, 189, 1, 1, 46.5334968435128, Lightning, 
4, 202, 1, 1, 38.3987268101953, Lightning, 
4, 204, 1, 1, 34.8058228991286, Lightning, 
4, 223, 1, 1, 26.6250233622564, Accidental, 
4, 228, 1, 1, 55.4773058659452, Accidental, 
4, 231, 1, 1, 36.9364750174622, Lightning, 
4, 232, 1, 1, 43.5415336779247, Accidental, 
4, 246, 1, 1, 26.6575752199445, Lightning, 
4, 250, 1, 1, 33.1742488010329, Accidental, 
4, 251, 1, 1, 38.2495427489719, Lightning, 
4, 258, 1, 1, 49.1709263341448, Lightning, 
4, 261, 1, 1, 34.4730443403591, Lightning, 
4, 264, 1, 1, 45.8976581880558, Lightning, 
5, 135, 1, 1, 10.1952246264108, Rx, 
5, 148, 1, 1, 12.2609829716642, Rx, 
5, 149, 1, 1, 12.3473406495969, Rx, 
5, 152, 1, 1, 12.4407630101636, Rx, 
5, 156, 1, 1, 11.7500563875821, Rx, 
5, 172, 1, 1, 25.5313479754901, Lightning, 
5, 211, 1, 1, 29.8870661568941, Lightning, 
5, 226, 1, 1, 41.6867688805509, Accidental, 
5, 246, 1, 1, 47.2956736259601, Lightning, 
5, 252, 1, 1, 45.2203147030278, Lightning, 
5, 254, 1, 1, 36.0803437652751, Accidental, 
5, 311, 1, 1, 9.38738610474749, Lightning, 
6, 70, 1, 1, 3.26207554203575, Lightning, 
6, 134, 1, 1, 13.0482932222922, Rx, 
6, 139, 1, 1, 14.2025777387019, Rx, 
6, 142, 1, 1, 13.7285335773532, Rx, 
6, 145, 1, 1, 15.4033089870574, Rx, 
6, 149, 1, 1, 17.7045642380763, Rx, 
6, 158, 1, 1, 29.3745011589945, Lightning, 
6, 197, 1, 1, 31.5868566108682, Lightning, 
6, 236, 1, 1, 34.058820748946, Accidental, 
6, 243, 1, 1, 24.3254573983566, Lightning, 
6, 246, 1, 1, 37.4688048730616, Accidental, 
6, 312, 1, 1, 9.72488340621498, Accidental, 
6, 317, 1, 1, 14.6395841414231, Lightning, 
6, 348, 1, 1, 1.60566368394606, Lightning, 
7, 14, 1, 1, 0.963821398607495, Lightning, 
7, 89, 1, 1, 7.53729528688002, Accidental, 
7, 110, 1, 1, 7.12536820320023, Lightning, 
7, 145, 1, 1, 10.6945798939193, Rx, 
7, 146, 1, 1, 10.4240055277338, Rx, 
7, 148, 1, 1, 11.9447463753769, Rx, 
7, 149, 1, 1, 10.0397504157954, Rx, 
7, 160, 1, 1, 10.0658822716395, Rx, 
