EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 1, 1136, 941, 14.3105486995645, 130, 0, Rx, 1, 156, 2952, 3021, 8.40266943798579, 10.8500586189863, 147.842761690211, 0, 14.31, 1, 0, 0, 0.219719864894183, 0.0554073760683761, 288.423076923077, 628.8, 3078186, 
2, 1, 2311, 637, 9.59901079176284, 132, 0, Rx, 1, 156, 3528, 4170, 9.34143853623581, 11.7592420247073, 150.079074476514, 0, 9.6, 1, 0, 0, 0.286172876358033, 0.035370311965812, 1637.89102564103, 549.19, 4533016, 
3, 1, 4102, 633, 9.82496689098635, 134, 0, Rx, 1, 156, 2138, 2732, 10.0947078930615, 13.3935750086258, 40.5447991304697, 0, 9.82, 1, 0, 0, 0.317977296755863, 0.0494497243589744, 121.50641025641, 275.21, 1947897, 
4, 1, 4460, 862, 9.36161033135399, 135, 0, Rx, 1, 156, 3302, 3793, 10.1830420002939, 13.3569296997668, 70.9290650586142, 0, 9.36, 1, 0, 0, 0.230574278097886, 0.0307383012820512, 517.089743589744, 207.89, 5526242, 
5, 1, 2598, 319, 9.97248868999155, 136, 0, Rx, 1, 156, 2757, 2757, 8.39340421482516, 4.63351621411929, 69.9836784738362, 0, 9.97, 1, 0, 0, 0.324106729825338, 0.0576112542735043, 19.2820512820513, 1882.6, 2341160, 
6, 1, 583, 1341, 26.7636477127449, 239, 158, Lightning, 123, 47341, 759732, 971776, 11.5887910170631, 14.2922279788826, 124.423100992289, 0.322982678495986, 14.85, 0.480436362181969, 0, 0, 0.341081883155737, 0.0349135480661576, 741.130415496082, 587.84, 807024996, 
7, 1, 4966, 1103, 24.5796825044717, 281, 135, Accidental, 70, 35730, 639615, 769123, 11.9038861285556, 14.0477634385585, 149.020646419001, 0.560888913767528, 14.4, 0.475145981533467, 0, 0, 0.228549063687063, 0.0305007861460929, 417.191491743633, 648.63, 810025491, 
8, 1, 2769, 30, 35.159391883897, 328, 104, Accidental, 8, 1773, 22749, 24264, 6.88147699521195, 10.025450170927, 263.341338633352, 1.12866817155756, 14.06, 0.457246903861172, 0, 0, 0.280474741215496, 0.062819436548223, 1254.99717992104, 946.83, 37937449, 
9, 2, 5029, 1126, 9.24567995976455, 124, 121, Accidental, 1, 1083, 10091, 10260, 7.5713296257734, 7.50786135314479, 127.905025294908, 0.979667282809612, 9.25, 0.408231858193581, 669.59071323614, 587.817936378225, 0.252460870945336, 0.00533789017594466, 132.745152354571, 871.39, 12301550, 
10, 2, 1966, 840, 10.1428801421097, 135, 0, Rx, 1, 156, 2762, 3048, 8.92404530557709, 9.51548567561978, 206.251304384113, 0, 10.14, 1, 678.569109677178, 590.297996657453, 0.464959602355956, 0.0125428453100696, 593.679487179487, 267.88, 2943828, 
11, 2, 3895, 509, 10.7784209148067, 139, 0, Rx, 1, 156, 1949, 2042, 9.11154145691087, 9.26169424890118, 152.08778988152, 0, 10.78, 1, 678.569109677178, 587.712325859345, 0.314200880588629, 0.0119809850789722, 669.019230769231, 254.81, 1791068, 
12, 2, 581, 995, 16.2127787501596, 142, 0, Rx, 1, 156, 2959, 3458, 9.88958283927171, 8.93938483380075, 115.633240542394, 0, 16.21, 1, 669.590713236147, 611.29484693274, 0.27272080384768, 0.015225523089757, 415.73717948718, 882.47, 3346886, 
13, 2, 463, 823, 10.2923385662018, 160, 0, Rx, 1, 156, 1170, 1471, 9.91448649587693, 9.71914453139238, 121.737910156495, 0, 10.29, 1, 678.569109677178, 616.503542970534, 0.211427726745605, 0.0148226388679578, 919.673076923077, 301.41, 1290023, 
14, 2, 2169, 516, 10.6406834309548, 161, 0, Rx, 1, 156, 2095, 2314, 10.0174740081274, 9.40620200951612, 114.953355504348, 0, 10.36, 1, 670.565145797711, 565.650518153944, 0.283224048614502, 0.0176297813710601, 297.980769230769, 491.65, 2124439, 
15, 2, 342, 1471, 23.6621857687029, 181, 110, Lightning, 158, 42368, 501742, 604246, 9.76766573969647, 11.5404040357505, 142.80658714037, 0.675289730214554, 15.34, 0.470556096525336, 669.590713236425, 593.837783078386, 0.338598250739997, 0.00742588614712858, 525.40355929003, 376.82, 539918102, 
16, 2, 4880, 1142, 39.5735348374094, 206, 94, Accidental, 126, 36058, 493735, 571006, 10.0431504618376, 11.2658453313517, 154.16850019247, 0.726904623235433, 16.07, 0.474500808079804, 675.983119934686, 579.695934122733, 0.228703489469922, 0.00820759737737873, 356.012618558988, 417.25, 628143270, 
17, 2, 2686, 438, 41.309381962168, 221, 137, Accidental, 117, 40538, 586051, 692340, 10.1684337864382, 11.7758207780362, 173.092186979872, 0.497570121123911, 15.09, 0.471087881540316, 678.569109677402, 586.541440184333, 0.324379704444927, 0.0128532447425742, 373.345132961666, 354.45, 622704403, 
18, 2, 762, 1281, 34.8701725170688, 228, 103, Lightning, 82, 16958, 258180, 306872, 9.67554026518751, 11.3556673116582, 99.5885640214349, 0.3444005425488, 18.49, 0.494333448149686, 669.590713236342, 593.660816741859, 0.353741881720003, 0.00964592152338474, 658.47924283524, 375.72, 282633451, 
19, 2, 610, 922, 24.085611181502, 250, 119, Lightning, 89, 36477, 603631, 734418, 9.8923082975586, 11.8087454656445, 152.348407602315, 0.199857440508828, 14.56, 0.46881635105313, 672.166553320664, 599.465145961327, 0.282380626520418, 0.0155107429513914, 698.622693752227, 357.98, 664994088, 
20, 2, 2594, 54, 41.3264651267368, 264, 83, Accidental, 42, 11246, 140354, 157883, 8.47139586074153, 9.86757459802442, 184.943682221369, 0.587816807469987, 17.89, 0.480914689762266, 678.569109677286, 583.704305718019, 0.307133216198163, 0.0113249012082963, 1589.86893117553, 455.31, 200647446, 
21, 2, 790, 1378, 17.2159704534947, 327, 72, Lightning, 1, 5, 41, 54, 10.4883144073707, 11.0599328041461, 275.997298706782, 30, 17.22, 0.379231901206489, 669.59071323615, 580.687734380625, 0.2750354347229, 0.0073413150645929, 2226.8, 165.4, 26889, 
22, 2, 1246, 1217, 16.9660760238011, 357, 72, Lightning, 1, 11, 164, 164, 9.84134540538035, 11.6750111567383, 266.773056166804, 28, 16.97, 0.351746986546033, 669.59071323615, 597.646400256496, 0.405110130310058, 0.00605151696882023, 270.636363636364, 154.82, 151355, 
23, 3, 3008, 128, 0.756287041155902, 87, 161, Accidental, 1, 221, 2457, 3081, 2.47774164707947, 9.05624263796436, 99.5852826447739, 0.0909090909090909, 0.76, 0.363261776637337, 670.108580432406, 565.873863211822, 0.324262671146997, 0.0145281308253296, 1646.27601809955, 1026.44, 3107897, 
24, 3, 2464, 213, 9.41979527000323, 158, 0, Rx, 1, 156, 2084, 2610, 9.3705258852439, 11.2825138461967, 175.147038994455, 0, 9.42, 1, 670.108580432407, 616.676971596904, 0.332357279459636, 0.0147354930345738, 228.358974358974, 182.16, 2098071, 
25, 3, 2880, 481, 10.7650847186724, 159, 0, Rx, 1, 156, 2036, 2796, 11.317303011727, 13.2530109768206, 163.783348143786, 0, 10.77, 1, 670.108580432407, 622.858963014682, 0.246381456179497, 0.0151022366370289, 508.525641025641, 126.69, 1970760, 
26, 3, 429, 1108, 16.1634461503854, 160, 0, Rx, 1, 156, 3648, 3855, 8.99011186779824, 7.54830105937739, 90.665191140868, 0, 16.16, 1, 661.526139648926, 584.154414060767, 0.296087687810261, 0.016174248061881, 1126.48076923077, 715.03, 6084959, 
27, 3, 2996, 377, 9.8716573548129, 162, 0, Rx, 1, 156, 3090, 3291, 7.74647291325086, 7.10666218959037, 48.7637195567831, 0, 9.87, 1, 670.108580432407, 571.275838043803, 0.265912341704736, 0.0196662903830784, 264.685897435897, 1327.57, 3236788, 
28, 3, 1744, 578, 8.61301879544382, 163, 0, Rx, 1, 156, 1632, 1664, 6.96663763397396, 6.33727534659611, 83.1679847482154, 0, 8.61, 1, 644.539228474299, 601.388140413716, 0.316957435607911, 0.0137948226326982, 490.967948717949, 1287.12, 1664947, 
29, 3, 636, 1379, 23.3222246645621, 208, 149, Lightning, 153, 51452, 413764, 510821, 9.82258167141227, 11.6052460145262, 150.395347285219, 0.476764300013605, 18.79, 0.496275608942107, 661.526139649569, 601.183826397521, 0.341452963334954, 0.00944647183922688, 408.829977454715, 390.7, 443976770, 
30, 3, 508, 897, 21.794437918016, 223, 147, Lightning, 139, 40227, 449367, 565424, 9.23750360428655, 11.8509332838456, 150.522009047549, 0.194401630786059, 17.23, 0.488131707220092, 665.47781310736, 612.040430701864, 0.280548561333587, 0.0154365246422812, 532.854276978149, 399.35, 481989702, 
31, 3, 117, 1618, 23.8352713407928, 253, 75, Accidental, 6, 1806, 20027, 26472, 11.0748529716166, 12.9015330901231, 73.1400775574826, 0.570637119113573, 21.12, 0.517523222616119, 661.526139648941, 605.662886046344, 0.386205197331126, 0.0130644475508558, 194.992801771872, 238.28, 18947531, 
32, 4, 535, 1070, 15.0526686863515, 137, 0, Rx, 1, 156, 1298, 1619, 9.47851734720825, 10.4359413677153, 93.8239679001413, 0, 15.05, 1, 674.672902336333, 616.018312921442, 0.214192129526383, 0.0144174867515891, 53.3333333333333, 360.93, 1416102, 
33, 4, 4825, 1042, 19.0573751742756, 141, 120, Accidental, 151, 29206, 249160, 316505, 10.396893962363, 12.0593135514365, 119.950196843644, 0.76271186440678, 14.85, 0.469311726548681, 679.112545940524, 619.078361321799, 0.229890423623318, 0.0137001044183367, 283.993220571116, 459.41, 294765180, 
34, 4, 3052, 176, 15.1608991920935, 146, 0, Rx, 1, 156, 2036, 2521, 12.9773740171657, 11.8864912574235, 160.732134032837, 0, 15.16, 1, 680.781935604247, 583.21196508399, 0.298537583962465, 0.0229187776621028, 1558.73076923077, 163.78, 2358217, 
35, 4, 2598, 319, 11.5499115941195, 147, 0, Rx, 1, 156, 245, 245, 5.5193847017057, 4.84707755550837, 23.952413387145, 0, 11.55, 1, 680.781935604247, 636.186033564746, 0.324106729825338, 0.00206562923890957, 133.480769230769, 1691.48, 30333, 
