SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 54454, 258670, 75174, 5, 9, 50, 984318650, 320092786, 1364150116, 
2, 37365, 96372, 77800, 2, 6, 50, 571040074, 1203698117, 915419785, 
3, 0, 26194, 77800, 0, 2, 50, 0, 253176552, 906350478, 
4, 47781, 134994, 46680, 7, 10, 30, 433219473, 1117592953, 519980897, 
5, 23344, 81596, 56251, 1, 4, 38, 259791342, 553502748, 534413726, 
6, 93005, 183684, 75287, 8, 6, 50, 1029199695, 1026570942, 558538902, 
7, 47978, 123383, 66908, 3, 7, 43, 253204383, 450476311, 482997985, 
8, 34759, 28464, 76246, 5, 2, 50, 269026017, 112542442, 487416728, 
9, 71045, 123698, 77472, 2, 9, 50, 291458575, 483864098, 512551833, 
10, 63450, 148004, 72873, 2, 6, 50, 217499002, 473077716, 511214049, 
11, 74372, 117859, 74706, 4, 8, 49, 406077699, 261814191, 481448841, 
12, 151789, 85051, 76312, 7, 3, 50, 818918757, 119965376, 264940632, 
13, 496, 47429, 77800, 2, 3, 50, 1426987, 63397636, 307892636, 
14, 109689, 116951, 76310, 4, 6, 50, 333474499, 186999338, 407039766, 
15, 96822, 124008, 71576, 7, 7, 46, 163379087, 101844755, 278127999, 
16, 142632, 100972, 74993, 6, 5, 50, 473827689, 115200013, 236112551, 
17, 70611, 124016, 75217, 3, 11, 50, 122012740, 103744325, 287212481, 
18, 166240, 56549, 74802, 8, 7, 50, 275941440, 34474184, 218650260, 
19, 10727, 101561, 77800, 2, 6, 50, 3434030, 49271782, 263955925, 
20, 64494, 166842, 74840, 3, 8, 50, 175039834, 135101057, 323385196, 
21, 41237, 98730, 74693, 3, 8, 49, 85301899, 30189090, 214813689, 
22, 77873, 70170, 76288, 4, 4, 50, 64195576, 33675980, 158524083, 
23, 109952, 129955, 73559, 9, 6, 50, 176963604, 242965286, 134022074, 
24, 128008, 131380, 73345, 4, 8, 49, 125621125, 232238692, 240001668, 
25, 38554, 10724, 77800, 3, 3, 50, 25881340, 5184346, 121476548, 
26, 40142, 43050, 77800, 4, 2, 50, 29071409, 4661260, 250886078, 
27, 46259, 104648, 76876, 3, 7, 50, 40267676, 42610538, 202265506, 
28, 35594, 59024, 76578, 5, 4, 50, 19725428, 17914008, 191773030, 
29, 6392, 108177, 74688, 1, 7, 48, 419747, 26313790, 177720447, 
30, 48637, 76428, 62240, 5, 5, 40, 34763039, 21783762, 74412661, 
31, 46980, 95162, 76563, 2, 7, 50, 7386705, 38930875, 150028964, 
32, 125148, 86270, 76609, 7, 6, 50, 114123667, 27048084, 253330193, 
33, 47332, 55317, 57572, 5, 6, 37, 30833258, 13283160, 105885094, 
34, 47295, 115308, 60372, 2, 4, 40, 205310762, 24213322, 135252359, 
35, 137756, 92661, 77800, 5, 2, 50, 238650048, 129804712, 246292008, 
36, 78581, 71379, 77800, 3, 5, 50, 50111496, 33973951, 146744467, 
37, 68288, 59587, 77800, 7, 4, 50, 59522920, 16653528, 93593440, 
38, 30219, 46644, 77800, 1, 4, 50, 31629620, 51333785, 221899734, 
39, 43123, 97249, 76370, 4, 8, 50, 50091679, 24509094, 154829561, 
40, 71502, 157052, 69939, 6, 8, 47, 85532596, 109872112, 196999639, 
41, 103923, 112028, 77800, 12, 6, 50, 83405827, 143858204, 213092611, 
42, 57782, 40453, 77800, 2, 1, 50, 59997324, 3627605, 165409550, 
43, 124386, 168266, 75409, 8, 8, 50, 155581119, 164203773, 195191716, 
44, 101147, 39155, 77800, 5, 2, 50, 43482174, 32005756, 202124878, 
45, 75693, 47786, 76332, 5, 3, 50, 91794821, 47414313, 152347543, 
46, 88947, 110863, 77800, 7, 8, 50, 63916080, 49862923, 149892586, 
47, 99176, 89421, 60694, 5, 6, 40, 67865912, 30880662, 164023497, 
48, 17610, 102864, 77800, 1, 5, 50, 35690283, 113148649, 178672678, 
49, 146067, 54548, 76225, 4, 3, 50, 136342650, 48515696, 145535551, 
50, 2193, 82491, 73132, 1, 6, 47, 2462968, 25268456, 138873233, 
51, 81846, 95924, 52904, 7, 8, 34, 60986052, 55858098, 133789597, 
