SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 130349, 147016, 780, 6, 8, 5, 2016938846, -2100185901, 11578035, 
2, 42004, 84659, 780, 2, 4, 5, 612751032, 1022519349, 12152486, 
3, 46936, 88941, 780, 3, 3, 5, 513127157, 1147531685, 13161098, 
4, 65978, 54667, 780, 5, 3, 5, 728967488, 391176016, 9970805, 
5, 75011, 81265, 780, 3, 2, 5, 595922207, 564378125, 10277140, 
6, 58713, 115884, 780, 5, 6, 5, 644993076, 800635961, 8535934, 
7, 95904, 162544, 780, 4, 6, 5, 768663787, 1020588611, 15000232, 
8, 12201, 90847, 780, 1, 8, 5, 68911792, 353761390, 10909543, 
9, 88514, 205622, 780, 6, 7, 5, 473133856, 1114834015, 10484604, 
10, 127238, 127387, 780, 6, 6, 5, 654544563, 737366295, 7247081, 
11, 21211, 90189, 780, 4, 5, 5, 112329644, 219249863, 6504778, 
12, 334, 91571, 780, 2, 3, 5, 1037537, 119796736, 8570229, 
13, 1427, 45915, 780, 1, 2, 5, 1854577, 86154622, 2647185, 
14, 74553, 90977, 780, 6, 6, 5, 363981472, 147198379, 9548167, 
15, 31838, 45822, 780, 2, 4, 5, 45387283, 111719357, 13454906, 
16, 70036, 96608, 780, 3, 4, 5, 276910606, 380090437, 12130873, 
17, 39510, 170602, 780, 3, 9, 5, 62496131, 467790015, 9788079, 
18, 151331, 102290, 780, 6, 7, 5, 312491329, 163235777, 7988507, 
19, 68419, 117472, 780, 5, 8, 5, 254428547, 113007121, 14764222, 
20, 26861, 116170, 780, 4, 6, 5, 10760004, 86110598, 13353707, 
21, 50826, 119464, 780, 5, 6, 5, 244832966, 94355452, 5877048, 
22, 81670, 90833, 780, 6, 3, 5, 127572720, 61614493, 7778075, 
23, 5, 95293, 780, 1, 5, 5, 17431, 85362190, 10212260, 
24, 24034, 105799, 725, 1, 8, 5, 6163052, 38207488, 5437444, 
25, 95760, 121891, 780, 6, 6, 5, 208624780, 185694783, 5586968, 
26, 2952, 94454, 780, 1, 5, 5, 9271823, 20135528, 4986016, 
27, 36922, 115144, 780, 3, 6, 5, 62360163, 382234588, 6214609, 
28, 136842, 37560, 780, 8, 3, 5, 534126631, 15818809, 7556468, 
29, 68643, 109709, 780, 5, 8, 5, 106693606, 102186060, 7411935, 
30, 147333, 39134, 780, 5, 2, 5, 565805870, 9881512, 9717564, 
31, 131179, 92501, 780, 5, 7, 5, 312062187, 33379775, 7123958, 
32, 61634, 57212, 780, 5, 4, 5, 40553226, 24473633, 13184219, 
33, 67225, 111234, 780, 5, 5, 5, 85779504, 41581517, 6840208, 
34, 96483, 65658, 780, 4, 3, 5, 212109266, 19589789, 10212604, 
35, 32192, 132384, 780, 4, 3, 5, 17018713, 351085017, 5015311, 
36, 108993, 23918, 780, 5, 1, 5, 89516966, 6879626, 12504361, 
37, 93518, 13759, 780, 4, 4, 5, 45760441, 2382835, 4672062, 
38, 36940, 140237, 780, 4, 9, 5, 44406932, 96778309, 5892353, 
39, 46978, 44305, 780, 3, 4, 5, 87929156, 300874822, 8985166, 
40, 75456, 41028, 780, 7, 4, 5, 177755729, 13902067, 6221300, 
41, 79410, 155374, 780, 5, 5, 5, 54101747, 235221184, 14390396, 
42, 21952, 111882, 780, 5, 5, 5, 18438216, 157005310, 5899064, 
43, 103818, 96937, 780, 4, 4, 5, 149128663, 66535874, 10936082, 
44, 65633, 122551, 780, 4, 6, 5, 148616641, 293106848, 11795187, 
45, 66352, 143486, 780, 5, 6, 5, 126677542, 103186337, 9545580, 
46, 25952, 104350, 780, 2, 8, 5, 12622751, 98646434, 872299, 
47, 37388, 137911, 780, 3, 6, 5, 29876532, 63010033, 6193572, 
48, 25791, 104685, 780, 4, 5, 5, 69802766, 42699862, 5551625, 
49, 95475, 81341, 780, 5, 4, 5, 154791140, 190001610, 10145023, 
50, 84093, 36417, 780, 7, 1, 5, 70026605, 8186586, 7461195, 
51, 64977, 121262, 780, 5, 8, 5, 28551179, 34408554, 6968834, 
