Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
2, ArbuMenz, eco2, 163566, 0.96, 1, 0.37, 0.22, 172.84, 47, 305, 
2, ArbuMenz, eco3, 97143, 0.91, 1, 0.52, 0.31, 140.94, 55, 297, 
2, Arctosta, eco1, 122950, 0.99, 1, 0.41, 0.24, 198.96, 54, 297, 
2, Arctosta, eco2, 192827, 0.99, 1, 0.55, 0.33, 173.52, 47, 305, 
2, Arctosta, eco3, 111883, 0.98, 1, 0.64, 0.38, 140.69, 55, 297, 
2, CaloDecu, eco1, 169670, 0.99, 1, 0.01, 0.01, 200.55, 54, 297, 
2, CaloDecu, eco2, 382963, 0.99, 1, 0.26, 0.16, 171.39, 47, 305, 
2, CaloDecu, eco3, 233659, 1, 1, 0.4, 0.24, 142.52, 55, 297, 
2, Ceanothu, eco1, 97274, 1, 1, 0.41, 0.24, 199.15, 54, 297, 
2, Ceanothu, eco2, 163495, 1, 1, 0.56, 0.33, 172.82, 47, 305, 
2, Ceanothu, eco3, 96742, 0.98, 1, 0.64, 0.38, 140.94, 55, 297, 
2, ChryChry, eco1, 55448, 0.98, 1, 0.01, 0.01, 199.86, 54, 297, 
2, ChryChry, eco2, 113269, 0.98, 1, 0.27, 0.16, 171.29, 47, 305, 
2, ChryChry, eco3, 69285, 1, 1, 0.4, 0.24, 141.87, 55, 297, 
2, Frangula, eco1, 55219, 0.98, 1, 0.02, 0.01, 199.85, 54, 297, 
2, Frangula, eco2, 112849, 0.98, 1, 0.38, 0.23, 171.33, 47, 305, 
2, Frangula, eco3, 69079, 0.95, 1, 0.52, 0.31, 141.85, 55, 297, 
2, Garrya, eco1, 169954, 0.99, 1, 0.29, 0.17, 200.54, 54, 297, 
2, Garrya, eco2, 384056, 0.99, 1, 0.5, 0.3, 171.37, 47, 305, 
2, Garrya, eco3, 233998, 0.95, 1, 0.59, 0.35, 142.5, 55, 297, 
2, GaulShal, eco1, 169934, 0.95, 1, 0.02, 0.01, 200.53, 54, 297, 
2, GaulShal, eco2, 383463, 0.96, 1, 0.38, 0.23, 171.37, 47, 305, 
2, GaulShal, eco3, 233693, 0.91, 1, 0.52, 0.31, 142.5, 55, 297, 
2, MahoNerv, eco1, 169578, 0.98, 1, 0.29, 0.17, 200.54, 54, 297, 
2, MahoNerv, eco2, 383097, 0.98, 1, 0.5, 0.3, 171.4, 47, 305, 
