SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 42605, 91404, 77800, 3, 3, 50, 780723171, 1283811152, 1414914255, 
2, 72519, 92913, 77800, 2, 7, 50, 1195889301, 1431073538, 1218615537, 
3, 135804, 14883, 77800, 4, 3, 50, 1362021534, 221763652, 895533960, 
4, 31842, 116685, 46680, 5, 10, 30, 284347849, 963648546, 435703261, 
5, 26477, 82971, 57574, 3, 7, 38, 220344384, 458780272, 549285042, 
6, 44786, 178817, 76343, 5, 9, 50, 420227534, 1079321268, 709102075, 
7, 52343, 67982, 66682, 6, 5, 43, 363978735, 304123757, 577724837, 
8, 23019, 70638, 77800, 3, 5, 50, 147314130, 212014735, 509020735, 
9, 90153, 102456, 77800, 3, 5, 50, 451485742, 216549010, 636986115, 
10, 235, 147585, 77800, 1, 6, 50, 181318, 529042586, 535558665, 
11, 47790, 30527, 76244, 4, 3, 49, 259536294, 37739216, 427291688, 
12, 72287, 167925, 74763, 2, 6, 50, 240474282, 589125442, 503419012, 
13, 52336, 1383, 77800, 2, 1, 50, 187705029, 9593382, 356215779, 
14, 63479, 119467, 77800, 4, 6, 50, 182152418, 185265117, 419952980, 
15, 33043, 160338, 70092, 3, 10, 46, 80151800, 172108890, 429256242, 
16, 140122, 125539, 77253, 10, 5, 50, 577224078, 105141284, 431035909, 
17, 107217, 104129, 74953, 3, 6, 50, 290425376, 324591282, 419902084, 
18, 78397, 190559, 77800, 5, 5, 50, 257122028, 184387526, 299748359, 
19, 36320, 66916, 77800, 5, 4, 50, 21092975, 31656074, 340990208, 
20, 13771, 108522, 77800, 1, 3, 50, 35605337, 82569102, 185205793, 
21, 64726, 38288, 76244, 5, 3, 49, 55810440, 12830468, 303066203, 
22, 39273, 107812, 77800, 2, 6, 50, 50868548, 270337002, 295921529, 
23, 45680, 126607, 76248, 3, 7, 50, 116099559, 140169575, 234133167, 
24, 115051, 92945, 75416, 8, 5, 49, 212710655, 69252596, 280658696, 
25, 76043, 26090, 77800, 1, 4, 50, 206257973, 2570668, 194594197, 
26, 30066, 77713, 77800, 1, 3, 50, 7831243, 28277652, 240252840, 
27, 65725, 118059, 76817, 6, 8, 50, 60617381, 40401776, 208043217, 
28, 11809, 113425, 77800, 3, 9, 50, 15015696, 43264239, 202791372, 
29, 79301, 92078, 74688, 3, 5, 48, 50642792, 15419239, 192510643, 
30, 21956, 123087, 62240, 1, 7, 40, 5274778, 84372202, 138703698, 
31, 29771, 73167, 77448, 1, 3, 50, 37009936, 37314114, 137349079, 
32, 126394, 113100, 74709, 6, 4, 50, 354717358, 29333680, 185984325, 
33, 22178, 79322, 57572, 2, 9, 37, 17849980, 27258124, 121928089, 
34, 32830, 65549, 62240, 3, 4, 40, 29445978, 11314977, 132145823, 
35, 61199, 130294, 74868, 4, 5, 50, 27171500, 154407714, 224907210, 
36, 32219, 73550, 76274, 3, 5, 50, 8632106, 149696537, 253268689, 
37, 112582, 121004, 77800, 8, 6, 50, 171139836, 130578053, 181978204, 
38, 30365, 40173, 77800, 4, 4, 50, 51314554, 16674558, 136455306, 
39, 47499, 125340, 77800, 4, 4, 50, 30474421, 99047084, 230047910, 
40, 91908, 147183, 71873, 8, 10, 47, 109926219, 110470023, 177809564, 
41, 74381, 119446, 75607, 5, 7, 50, 80504579, 61522563, 209310544, 
42, 60315, 115547, 74122, 3, 5, 50, 85933447, 32167926, 85927331, 
43, 132979, 90801, 77800, 5, 3, 50, 248243860, 12688105, 188596006, 
44, 3905, 95867, 77800, 1, 3, 50, 119783, 45315168, 195235658, 
45, 37404, 73049, 77800, 4, 4, 50, 11687476, 15386832, 184365831, 
46, 82338, 101943, 77800, 7, 8, 50, 30105597, 29821274, 112033814, 
47, 58096, 35484, 62240, 3, 1, 40, 69824089, 5590538, 102611275, 
48, 115591, 123426, 77800, 6, 9, 50, 143326535, 64734908, 218925524, 
49, 82600, 37667, 77800, 5, 3, 50, 18188421, 6184443, 159815831, 
50, 49017, 142256, 73132, 6, 6, 47, 40652131, 75759620, 172717586, 
51, 63710, 48971, 52904, 6, 4, 34, 43400234, 6255669, 104532373, 
