Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -733.4, 1624, 16684.1, 669, 0.6, 1133.3, 
2, -397.8, 1724.9, 14978.8, 427.1, 0.56, 1841.9, 
3, -386.8, 1880.9, 14098.2, 482.6, 0.52, 2201.4, 
4, -324.8, 2043.5, 13586.5, 454.1, 0.46, 2396.3, 
5, -328.7, 2201.1, 13301, 462.7, 0.43, 2530.6, 
6, -254.8, 2375.3, 12490.3, 438.7, 0.45, 2752.4, 
7, -217.4, 2538.1, 12126.8, 402.6, 0.46, 2843.4, 
8, -160.2, 2704, 11922.9, 382.9, 0.45, 2844.6, 
9, -134.5, 2860.7, 11464.9, 367.2, 0.46, 2911.6, 
10, -152.8, 3019.4, 11154.5, 402.6, 0.46, 2928.5, 
11, -86.9, 3176.8, 11019.7, 376.7, 0.46, 2864.3, 
12, -90.3, 3314.8, 10560.1, 361.9, 0.48, 2907.2, 
13, -56.9, 3444.3, 10485.8, 341.4, 0.47, 2831.9, 
14, -81.4, 3566.2, 10328.6, 368.4, 0.5, 2796.7, 
15, -83.2, 3670.9, 10177.7, 346.7, 0.5, 2773.3, 
16, -40.4, 3782.3, 9831.5, 355.4, 0.52, 2774.5, 
17, -44.9, 3885.5, 9531, 355.1, 0.53, 2767.7, 
18, 2.3, 3986, 9369.8, 349.1, 0.55, 2686.7, 
19, -54.5, 4061.9, 9369.5, 330.7, 0.56, 2629.4, 
20, -42.9, 4130.2, 9388.5, 331.1, 0.58, 2550.6, 
21, -50.5, 4186, 9308, 268.3, 0.61, 2549.1, 
22, -38.7, 4254.1, 9207.3, 336.8, 0.61, 2520.9, 
23, -13.3, 4314.7, 9127.9, 308.4, 0.64, 2480.3, 
24, 31.1, 4368.5, 8960.1, 272.5, 0.65, 2443.2, 
25, -6.4, 4417.2, 8939.8, 322.6, 0.69, 2376.6, 
26, -26.1, 4462.6, 9039.1, 355, 0.74, 2295.7, 
27, -46.9, 4498.2, 9095.6, 340.3, 0.75, 2250.3, 
28, -35.2, 4532.2, 9165.7, 341, 0.79, 2197.2, 
29, -17, 4561.6, 9183.3, 308, 0.84, 2158.3, 
30, -38.3, 4588.1, 9196.2, 298.3, 0.87, 2134.1, 
31, -46.5, 4613.3, 9258.8, 322.9, 0.91, 2106.9, 
32, -33.6, 4636.9, 9156.5, 339, 0.94, 2115.3, 
33, -57.6, 4660.1, 9213.5, 305.6, 1.03, 2099.9, 
34, -55.4, 4684.2, 9341.9, 363.4, 1.07, 2057.8, 
35, -87.6, 4707.1, 9294.7, 345.5, 1.15, 2084.7, 
36, -79.4, 4732.2, 9289, 361, 1.17, 2097.5, 
37, -67.8, 4755.7, 9219.2, 339.2, 1.22, 2122.6, 
38, -47.7, 4780.3, 9320.1, 363.1, 1.26, 2082.2, 
39, -52, 4801.2, 9350.4, 374.2, 1.27, 2067.7, 
40, -56.2, 4821.2, 9287.1, 326.3, 1.32, 2086.9, 
41, -58.9, 4843.1, 9227.2, 302.4, 1.34, 2113.4, 
42, -78.2, 4867.8, 9319.6, 358.9, 1.33, 2101.4, 
43, -97.3, 4889.9, 9286.3, 370, 1.49, 2131.2, 
44, -46.8, 4917.7, 9343.9, 353.7, 1.56, 2107, 
45, -73.3, 4939.7, 9403.2, 362.4, 1.64, 2091.7, 
46, -87, 4961.8, 9463.1, 335, 1.74, 2098.1, 
47, -71.9, 4984.7, 9579.1, 383.4, 1.7, 2076.9, 
48, -48.7, 5007, 9562.6, 382, 1.83, 2076.8, 
49, -20.9, 5020.1, 9645.2, 370.8, 1.9, 2031.8, 
50, -66.6, 5035.5, 9653.6, 359.9, 1.94, 2041.9, 
51, -76.2, 5050.1, 9730.6, 354.6, 1.95, 2039.8, 
