Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -742.5, 1610.6, 17248.1, 668.6, 0.46, 928.4, 
2, -559.2, 1688.7, 16949.1, 548.4, 0.41, 1304.2, 
3, -532.1, 1794.2, 16549.3, 554.2, 0.37, 1650.3, 
4, -462.9, 1909, 16356.8, 509.2, 0.36, 1886.5, 
5, -377.7, 2041.1, 15422.7, 463, 0.34, 2245.4, 
6, -320.2, 2207.6, 14565.5, 461.9, 0.41, 2527.5, 
7, -320.2, 2400, 14444.4, 511.8, 0.42, 2583.5, 
8, -337.5, 2568.5, 14576.8, 515.7, 0.38, 2597.1, 
9, -285.9, 2725.8, 14177.3, 469.7, 0.38, 2735.4, 
10, -298.8, 2880.2, 14346.2, 480.1, 0.42, 2729.8, 
11, -181.8, 3055.6, 13945.9, 456.8, 0.4, 2791.5, 
12, -254.7, 3191.2, 14123, 450.4, 0.36, 2777.3, 
13, -212.1, 3341.4, 14084.8, 468.9, 0.39, 2783.9, 
14, -215.3, 3482.9, 13974.4, 472.4, 0.41, 2809, 
15, -238.2, 3622.6, 13977.2, 498.1, 0.41, 2815.6, 
16, -187.6, 3747.4, 13872.3, 439.5, 0.41, 2845.8, 
17, -151.9, 3881.6, 13986.6, 450.5, 0.46, 2792.9, 
18, -207.3, 3996.5, 14000.4, 468.1, 0.48, 2810.3, 
19, -153, 4109.2, 14050.8, 429.3, 0.49, 2797.4, 
20, -196, 4224.4, 14207, 496.6, 0.51, 2759.4, 
21, -212.4, 4332.7, 14473, 506.8, 0.52, 2721.2, 
22, -206, 4443.7, 14514.2, 554.4, 0.55, 2722.1, 
23, -164.2, 4543.3, 14652.8, 503.8, 0.57, 2685.4, 
24, -219.3, 4633.6, 14722.3, 501.7, 0.6, 2719.3, 
25, -113.1, 4723.4, 14279.3, 435.9, 0.62, 2819.2, 
26, -149, 4822.1, 14417.7, 488.2, 0.66, 2782.9, 
27, -199.7, 4907.2, 14637.1, 499.4, 0.66, 2766.8, 
28, -161.5, 4993.6, 14737.1, 500.1, 0.67, 2756.6, 
29, -106.6, 5073, 14708, 436, 0.68, 2763.3, 
30, -107.9, 5151.2, 14769.1, 469.1, 0.7, 2737.1, 
31, -125.3, 5215.6, 14747.9, 396, 0.72, 2768.6, 
32, -117.9, 5286.7, 14653, 433.7, 0.76, 2809.7, 
33, -117, 5357.5, 14763.8, 469.4, 0.77, 2783.6, 
34, -144.3, 5427.1, 14887.3, 480.5, 0.81, 2774.3, 
35, -92.2, 5493.5, 14949.2, 462, 0.85, 2749.6, 
36, -98.4, 5555.2, 14926.4, 467.9, 0.89, 2755.6, 
37, -79, 5610.6, 14689.6, 461.1, 0.94, 2805.3, 
38, -146.8, 5672.4, 14857.7, 525.5, 0.98, 2777.7, 
39, -12.5, 5729.2, 14556.4, 490.9, 1.08, 2782.9, 
40, -72.3, 5774.3, 14440.3, 426.3, 1.1, 2786.6, 
41, -64.3, 5822.5, 14664.8, 502.8, 1.24, 2695.3, 
42, -57.5, 5861.5, 14692.3, 414.1, 1.24, 2678.9, 
43, -79, 5900.3, 14676.2, 411.3, 1.32, 2691.7, 
44, -118.6, 5940.3, 14708.3, 451.7, 1.37, 2715, 
45, -73.1, 5984.4, 14811.5, 448.8, 1.35, 2683.2, 
46, -63.4, 6021.1, 14840.3, 461.9, 1.43, 2670.1, 
47, -119.8, 6057.2, 14855, 457.8, 1.49, 2700.1, 
48, -59.3, 6093.3, 14836.2, 402, 1.62, 2708, 
49, -103.9, 6129.6, 14973.2, 479.8, 1.69, 2691.9, 
50, -32.4, 6158.8, 14681.6, 369, 1.73, 2752.1, 
51, -23.2, 6194.3, 14676.4, 403.1, 1.82, 2733.2, 
