Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -591.6, 1606, 16539.7, 538.3, 0.6, 1026, 
2, -486.1, 1669.6, 16565.7, 469.2, 0.43, 1285.3, 
3, -460.2, 1757.1, 16171.8, 473.2, 0.36, 1617.5, 
4, -487, 1862.5, 16054.4, 512.9, 0.29, 1857.3, 
5, -409.5, 1988.4, 15553.1, 475.1, 0.34, 2145.7, 
6, -412.7, 2133, 15416.7, 505.5, 0.29, 2307.7, 
7, -341.6, 2269.5, 14879.3, 443.7, 0.35, 2557.3, 
8, -328.8, 2445.7, 14427.5, 492, 0.36, 2733.8, 
9, -212.9, 2585.8, 14259.4, 359.1, 0.39, 2811.2, 
10, -223.9, 2756.9, 13953.2, 429.4, 0.37, 2882.7, 
11, -224.1, 2931.9, 13311.1, 453.1, 0.42, 3030.4, 
12, -166.6, 3103.6, 12792.8, 416.8, 0.43, 3093.5, 
13, -190, 3275.3, 12847.4, 453.9, 0.44, 3033.5, 
14, -127.9, 3418.3, 12958.3, 380, 0.42, 2953.4, 
15, -198.9, 3556.9, 13200.4, 453.3, 0.41, 2870.7, 
16, -200, 3680.8, 13412.9, 439.7, 0.39, 2824, 
17, -167.3, 3812.4, 13186.9, 462.5, 0.39, 2858.3, 
18, -159.2, 3940.5, 13140.3, 461.2, 0.41, 2839, 
19, -134.3, 4047.9, 13188.5, 393.4, 0.41, 2816.2, 
20, -166.7, 4151.5, 13348.1, 423.7, 0.4, 2778.4, 
21, -133.7, 4254.2, 13051.5, 422.6, 0.43, 2836.5, 
22, -166.8, 4353.8, 13048.7, 442.4, 0.44, 2847.7, 
23, -152.2, 4459.5, 13314.4, 477.3, 0.45, 2765.1, 
24, -128.3, 4553.8, 13238, 470.2, 0.47, 2760.9, 
25, -135.5, 4635.9, 13338.8, 420.7, 0.49, 2717.8, 
26, -135.5, 4718.6, 13148.8, 470.6, 0.5, 2759.3, 
27, -150.4, 4795.5, 13237.9, 440.2, 0.53, 2751.6, 
28, -159.1, 4866.9, 13320.7, 440.7, 0.51, 2752.2, 
29, -183.5, 4948.3, 13582, 508.5, 0.58, 2714.5, 
30, -161.2, 5021.8, 13520, 509.2, 0.62, 2727.2, 
31, -139.8, 5092.6, 13647.6, 470.2, 0.63, 2706, 
32, -105.6, 5155.8, 13708.8, 403.9, 0.64, 2695.9, 
33, -113.9, 5223.5, 13730.3, 460.2, 0.68, 2692.9, 
34, -137.9, 5286.4, 13884, 456.3, 0.73, 2676.3, 
35, -101.9, 5343.8, 13876.8, 419.3, 0.76, 2679.6, 
36, -169, 5402.6, 14078.1, 468.4, 0.79, 2676.8, 
37, -157.2, 5463.3, 14072.2, 525.2, 0.85, 2706.5, 
38, -131.6, 5519.5, 13981.8, 440.9, 0.88, 2757, 
39, -129.5, 5577.5, 14131.8, 456, 0.9, 2742.6, 
40, -130.7, 5633, 14304.2, 471.1, 0.9, 2722.2, 
41, -123.6, 5689.6, 14472.5, 488.3, 0.95, 2696.4, 
42, -99.4, 5737.1, 14541.5, 411.6, 0.97, 2699.3, 
43, -181.7, 5792.1, 14728.5, 503.1, 0.99, 2715.3, 
44, -148.7, 5842.5, 14841.4, 454.1, 1, 2738.2, 
45, -189, 5896.7, 15039.7, 527.5, 0.99, 2749, 
46, -201.9, 5949.8, 15216, 492.4, 0.99, 2784.8, 
47, -176.1, 6002.2, 14790.5, 500.6, 1.02, 2956, 
48, -171.6, 6074, 14957.8, 534.9, 1.08, 2956.7, 
49, -161.4, 6137.1, 15163.5, 520.9, 1.07, 2944, 
50, -115.7, 6202.8, 15103.6, 501.8, 1.13, 2971.5, 
51, -156.8, 6265.1, 15006.9, 479.3, 1.18, 3045.2, 
