SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 68144, 101914, 780, 3, 6, 5, 939865175, 1644829816, 13756301, 
2, 98259, 124027, 780, 4, 9, 5, 1367087591, 1690775155, 10014446, 
3, 71592, 120736, 780, 5, 7, 5, 834800250, 1345921838, 12970045, 
4, 119188, 10171, 780, 6, 1, 5, 1205028496, 29036817, 10926616, 
5, 82951, 115444, 780, 5, 5, 5, 566881601, 919626748, 8685878, 
6, 15278, 71464, 780, 2, 4, 5, 65480628, 267043858, 8928862, 
7, 28247, 16918, 780, 3, 1, 5, 216381953, 99471456, 6270462, 
8, 52999, 81807, 780, 6, 6, 5, 317261411, 434135259, 7715496, 
9, 3585, 111849, 780, 1, 5, 5, 7816025, 443518128, 10734229, 
10, 29672, 107986, 780, 2, 4, 5, 202684244, 502183492, 8438912, 
11, 26006, 0, 780, 1, 0, 5, 68835935, 0, 11194768, 
12, 68238, 79532, 780, 4, 4, 5, 419367436, 315129656, 11685645, 
13, 23913, 154533, 780, 4, 9, 5, 130918581, 742003295, 3253907, 
14, 24939, 182566, 780, 1, 7, 5, 139011786, 673816509, 2774006, 
15, 107366, 46717, 780, 11, 3, 5, 522070478, 151568421, 3521757, 
16, 35931, 91993, 780, 3, 3, 5, 56302103, 149608866, 3884953, 
17, 96588, 106680, 780, 7, 8, 5, 611456812, 202370833, 12084166, 
18, 13381, 56651, 780, 2, 3, 5, 9660019, 78512870, 7810119, 
19, 71362, 124975, 780, 3, 5, 5, 210090907, 342152281, 4669205, 
20, 69848, 181752, 780, 5, 11, 5, 317590473, 658933939, 8787978, 
21, 0, 87956, 780, 0, 5, 5, 0, 57768458, 14001404, 
22, 56806, 32076, 780, 3, 2, 5, 576194055, 15261449, 3645397, 
23, 89670, 63778, 780, 4, 3, 5, 197511176, 30856469, 4269948, 
24, 61444, 32393, 780, 4, 2, 5, 74748104, 36997482, 6976043, 
25, 50815, 35587, 780, 4, 2, 5, 79605193, 11468902, 9454150, 
26, 66583, 33729, 780, 5, 1, 5, 116020474, 30349075, 10369588, 
27, 76793, 72208, 780, 5, 5, 5, 260689511, 34302711, 5105043, 
28, 0, 100664, 780, 0, 4, 5, 0, 284992269, 5169768, 
29, 19817, 73454, 780, 1, 4, 5, 46086612, 315557785, 1016636, 
30, 124366, 161662, 780, 9, 8, 5, 636081381, 350735723, 10194030, 
31, 120882, 140472, 780, 5, 6, 5, 796795748, 124249111, 8658740, 
32, 80105, 68134, 780, 4, 3, 5, 49487668, 29753125, 5843001, 
33, 155416, 113167, 780, 5, 4, 5, 1017125364, 65012510, 4254485, 
34, 36066, 23696, 780, 4, 2, 5, 178933649, 11744684, 6910227, 
35, 125801, 83001, 780, 5, 4, 5, 318922224, 122959116, 7660823, 
36, 73648, 131987, 780, 3, 7, 5, 232167006, 389697232, 7458467, 
37, 98117, 58493, 780, 3, 4, 5, 387551288, 43548812, 8839519, 
38, 82117, 96878, 780, 4, 5, 5, 128398503, 39646149, 4037883, 
39, 70032, 65107, 780, 6, 3, 5, 100395126, 21816675, 6018515, 
40, 36473, 22864, 780, 6, 2, 5, 47211886, 7659217, 4952021, 
41, 44, 49153, 780, 1, 4, 5, 110984, 35107471, 8416451, 
42, 97800, 44922, 780, 6, 2, 5, 143260113, 22311191, 9622115, 
43, 8165, 0, 780, 2, 0, 5, 10028929, 0, 5124208, 
44, 56593, 127026, 780, 4, 4, 5, 151787358, 110908157, 3964409, 
45, 26107, 129344, 780, 2, 4, 5, 45847103, 337908212, 9957923, 
46, 58569, 48459, 780, 5, 4, 5, 136110558, 174714688, 7855340, 
47, 129496, 94279, 780, 6, 5, 5, 193749435, 208538396, 2234482, 
48, 4592, 155701, 780, 2, 8, 5, 15306425, 254505945, 2505915, 
49, 73443, 50666, 780, 3, 5, 5, 25962991, 30240099, 5841222, 
50, 3383, 96775, 780, 1, 3, 5, 18624496, 57030062, 4769050, 
51, 40164, 61975, 780, 3, 5, 5, 83763197, 40945490, 11925368, 
