SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 15784, 52485, 77800, 1, 3, 50, 362123807, 937303473, 1346468302, 
2, 115999, 43088, 77800, 5, 2, 50, 1717141486, 547097237, 1108542102, 
3, 54970, 68887, 77800, 4, 6, 50, 873476533, 748175596, 884279149, 
4, 19802, 102425, 77800, 1, 4, 50, 224347070, 1180547881, 795675994, 
5, 121631, 87414, 76451, 6, 3, 50, 1153585845, 505830318, 848982587, 
6, 30920, 135032, 73146, 3, 8, 49, 208043556, 1086371646, 644685507, 
7, 71222, 23125, 77800, 5, 1, 50, 466302772, 95217101, 588708253, 
8, 119797, 119656, 76292, 4, 5, 50, 1078363514, 540253372, 484671542, 
9, 152028, 75469, 75023, 7, 4, 50, 598214395, 369590699, 476847074, 
10, 101506, 140066, 77776, 4, 9, 50, 350708135, 835600583, 418907879, 
11, 15462, 201969, 75054, 2, 14, 50, 70481915, 661514892, 507490093, 
12, 38952, 65092, 65352, 4, 4, 42, 105286725, 159720422, 270665040, 
13, 65990, 42231, 77800, 3, 3, 50, 239027290, 63188399, 321895473, 
14, 76208, 38862, 77800, 5, 2, 50, 159312633, 42724178, 234083781, 
15, 97923, 1673, 77800, 5, 2, 50, 90694293, 1950755, 281596082, 
16, 8271, 110831, 77800, 3, 5, 50, 8154458, 127694048, 396658260, 
17, 66491, 261810, 74749, 2, 9, 50, 503393822, 1112522901, 348703161, 
18, 2336, 56839, 68464, 2, 2, 44, 7053491, 194438086, 252325310, 
19, 19721, 114848, 56016, 3, 3, 36, 24790827, 77576614, 169423275, 
20, 7807, 102813, 76652, 1, 7, 50, 17845434, 72574630, 262585378, 
21, 53220, 40374, 63796, 8, 6, 41, 56289622, 28241866, 181446073, 
22, 112399, 100175, 76065, 3, 4, 50, 397554992, 91854745, 223916746, 
23, 94788, 103610, 77080, 8, 6, 50, 153593239, 119707602, 194694619, 
24, 32065, 138791, 77800, 3, 10, 50, 101340670, 125848488, 228925689, 
25, 133016, 194943, 75701, 5, 6, 50, 170147253, 459284830, 291449540, 
26, 45015, 113292, 77800, 2, 6, 50, 69318113, 55273025, 234069072, 
27, 46147, 95903, 76677, 3, 6, 50, 50143707, 31244041, 191807711, 
28, 50398, 167719, 76370, 4, 10, 50, 101167395, 126332464, 153789383, 
29, 57990, 97358, 76940, 1, 4, 50, 170486151, 33166342, 142660410, 
30, 19300, 113458, 70662, 3, 9, 46, 17765551, 30571689, 149106086, 
31, 143515, 106698, 59128, 7, 7, 38, 189544167, 30396311, 141937998, 
32, 145126, 141795, 75434, 9, 7, 50, 261485471, 40686561, 166852867, 
33, 22557, 129457, 77800, 4, 10, 50, 5709040, 95462636, 201187190, 
34, 124308, 76561, 77800, 5, 5, 50, 335717555, 30022229, 146592847, 
35, 93526, 155876, 77800, 6, 11, 50, 92172957, 82712537, 178840263, 
36, 49575, 57281, 77227, 3, 2, 50, 26301555, 6301183, 126280375, 
37, 124980, 144509, 77800, 5, 9, 50, 119018827, 191357625, 95417752, 
38, 47036, 72406, 77800, 5, 2, 50, 5823231, 22274146, 192880229, 
39, 98862, 169490, 76439, 4, 7, 50, 76876724, 60636343, 204067444, 
40, 51926, 130591, 62315, 10, 10, 41, 21886407, 32365955, 89766300, 
41, 32427, 96563, 77800, 5, 9, 50, 11984578, 51534344, 140620540, 
42, 23661, 36946, 60684, 3, 4, 39, 14453107, 6592600, 99309120, 
43, 35788, 88247, 74787, 6, 4, 50, 7117990, 26607968, 158617231, 
44, 114908, 95616, 56404, 5, 5, 38, 86822933, 19890672, 127353179, 
45, 52791, 122023, 76326, 5, 6, 50, 24697176, 90637761, 105002582, 
46, 143208, 106138, 76631, 10, 8, 50, 107344497, 18548724, 137506255, 
47, 38479, 120589, 77800, 4, 6, 50, 18746768, 96088883, 134020188, 
48, 82240, 80218, 67027, 9, 7, 44, 28418745, 37950272, 135640645, 
49, 8903, 113630, 77800, 2, 6, 50, 5720608, 13778631, 117221490, 
50, 118119, 160384, 76679, 8, 14, 50, 122273325, 187352128, 229448827, 
51, 66586, 96521, 75924, 5, 5, 50, 53148324, 29127675, 115663077, 
