   Loading spin-up weather data from file historical_climate.csv ...
   Converting raw data from text file: historical_climate.csv, Format=daily_temp-k_precip-mmday, Temporal=Daily.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1979, actualYear = 1982, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1980, actualYearUsed=1991.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1980, actualYear = 1991, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1981, actualYearUsed=1973.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1981, actualYear = 1973, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1982, actualYearUsed=1998.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1982, actualYear = 1998, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1983, actualYearUsed=1957.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1983, actualYear = 1957, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1984, actualYearUsed=1984.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1984, actualYear = 1984, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1985, actualYearUsed=2003.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1985, actualYear = 2003, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1986, actualYearUsed=1966.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1986, actualYear = 1966, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1987, actualYearUsed=1995.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1987, actualYear = 1995, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1988, actualYearUsed=1985.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1988, actualYear = 1985, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1989, actualYearUsed=1956.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1989, actualYear = 1956, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1990, actualYearUsed=1960.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1990, actualYear = 1960, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1991, actualYearUsed=1959.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1991, actualYear = 1959, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1992, actualYearUsed=1994.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1992, actualYear = 1994, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1993, actualYearUsed=1970.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1993, actualYear = 1970, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1994, actualYearUsed=1956.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1994, actualYear = 1956, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1995, actualYearUsed=1985.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1995, actualYear = 1985, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1996, actualYearUsed=1999.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1996, actualYear = 1999, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1997, actualYearUsed=1973.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1997, actualYear = 1973, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1998, actualYearUsed=1951.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1998, actualYear = 1951, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 1999, actualYearUsed=1956.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 1999, actualYear = 1956, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2000, actualYearUsed=1980.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2000, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2001, actualYearUsed=1994.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2001, actualYear = 1994, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = eco1, SimulatedYear = 2002, actualYearUsed=1967.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2002, actualYear = 1967, phase = SpinUp_Climate.
