EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 1, 2442, 390, 9.75177840713319, 120, 0, Rx, 1, 467, 4391, 4518, 7.69148749857222, 9.11557407283773, 126.401593460761, 0, 9.75, 1, 0, 0, 0.307731301064666, 0.0398267130620985, 835.481798715203, 1414.62, 5049493, 
2, 1, 1749, 617, 12.6890117181687, 121, 0, Rx, 1, 467, 5512, 5556, 10.8452547512846, 8.25472287668622, 88.9459534004833, 0, 12.69, 1, 0, 0, 0.312580186529385, 0.0518963197715914, 513.364025695931, 1673.21, 8779612, 
3, 1, 2267, 298, 10.9654206458349, 125, 0, Rx, 1, 467, 7456, 7456, 6.00395095463774, 6.65281946288846, 29.9285075875873, 0, 10.97, 1, 0, 0, 0.329154329483717, 0.0426932769450391, 175.066381156317, 1920.17, 5154020, 
4, 1, 2722, 512, 9.5370552519663, 126, 0, Rx, 1, 467, 8631, 8631, 5.7020658152866, 8.58075216529518, 121.657921547143, 0, 9.54, 1, 0, 0, 0.333781179146288, 0.0548577223411846, 184.533190578158, 1448.03, 9762627, 
5, 1, 709, 932, 13.0714043554785, 127, 0, Rx, 1, 467, 10751, 11242, 10.330712326317, 8.95649239366717, 151.93801010434, 0, 13.07, 1, 0, 0, 0.250247004425246, 0.0254920485367595, 1537.11349036403, 1216.36, 13428763, 
6, 1, 2558, 155, 9.85384475733551, 128, 0, Rx, 1, 467, 6077, 6272, 8.30139508597998, 8.30124563890741, 116.864833215722, 0, 9.85, 1, 0, 0, 0.332390400071726, 0.045970193433262, 1819.82655246253, 1170.91, 7490337, 
7, 1, 2907, 594, 10.0910421516916, 130, 0, Rx, 1, 467, 7990, 8349, 7.99587526867025, 6.92482639044503, 166.162081937486, 0, 10.09, 1, 0, 0, 0.297730388927256, 0.0577028829407565, 1958.07280513919, 1710.36, 7803093, 
8, 1, 3158, 361, 10.3101131509737, 134, 0, Rx, 1, 467, 8929, 8929, 6.83058924230905, 5.63683175415657, 72.5490323429912, 0, 10.31, 1, 0, 0, 0.255556262055098, 0.0408060977872948, 199.490364025696, 1971.71, 12083735, 
9, 1, 2536, 390, 11.3792514749036, 137, 0, Rx, 1, 467, 8911, 8918, 6.63369599644921, 9.25671685949308, 30.1852489208155, 0, 11.38, 1, 0, 0, 0.336256013253517, 0.0572648536759458, 181.41113490364, 1229.16, 8817830, 
10, 1, 2835, 667, 12.7480459593095, 138, 0, Rx, 1, 467, 8405, 8460, 7.72828913382786, 8.24766233560039, 3.1888387601911, 0, 12.75, 1, 0, 0, 0.242434804087277, 0.0406260149892934, 344.728051391863, 1199.17, 8612410, 
11, 1, 542, 860, 14.6904012279588, 139, 0, Rx, 1, 467, 7852, 9414, 10.8850232624106, 12.8099621121401, 357.357624151959, 0, 14.69, 1, 0, 0, 0.218016626901239, 0.0433604689507493, 523.042826552463, 463.06, 8867485, 
12, 1, 3243, 399, 10.9292616362728, 142, 0, Rx, 1, 467, 7231, 7232, 6.94341854982044, 5.62579934496756, 94.7522113260784, 0, 10.93, 1, 0, 0, 0.308072246657706, 0.0398691506067094, 272.477516059957, 1967.4, 7594302, 
13, 1, 4433, 1028, 11.5524488800106, 151, 0, Rx, 1, 467, 11461, 11472, 5.256898271934, 7.13666834923751, 17.9737387643401, 0, 11.55, 1, 0, 0, 0.230582159928644, 0.0416947030692362, 1118.70235546039, 1751.9, 15413114, 
14, 1, 598, 906, 15.6999027972643, 152, 0, Rx, 1, 467, 10649, 11743, 11.3109147806636, 11.0175213700025, 156.945454859088, 0, 15.7, 1, 0, 0, 0.284820016293249, 0.0660730428265526, 1656.74946466809, 600.51, 12815370, 
15, 1, 3333, 449, 24.2281010645014, 174, 0, Rx, 1, 467, 6366, 6859, 9.3375201950935, 11.2684116373673, 164.68707861109, 0, 24.23, 1, 0, 0, 0.273159140437777, 0.0399938800856531, 134.3147751606, 620.71, 5117080, 
16, 1, 543, 953, 31.8769479194271, 179, 102, Lightning, 155, 34149, 557532, 686020, 10.5972531009333, 13.9079001541988, 184.238767229099, 0.174827222677756, 12.99, 0.466066808847732, 0, 0, 0.30125115375406, 0.0565820561265825, 647.575478052066, 614.77, 599761872, 
17, 1, 896, 921, 31.7084297143617, 189, -13, Lightning, 2, 1, 7, 13, 14.2138936762751, 18.7630402266347, 93.0171382600224, NaN, 31.71, NaN, 0, 0, 0.421787300109863, 0.0758266666666667, 65, 96, 4821, 
18, 1, 4993, 1016, 30.3185557383827, 194, 104, Accidental, 118, 18738, 361182, 394216, 9.04056952234379, 11.5546576949571, 131.345319056761, 0.929711266478091, 17.75, 0.486721105046981, 0, 0, 0.239424904710231, 0.0311446285089125, 390.220674565055, 896.54, 464933888, 
19, 1, 224, 1571, 46.5741544680749, 202, 124, Lightning, 117, 21103, 313125, 395913, 11.5925150528731, 14.0818437995161, 118.314764584175, 1.29892901146811, 16.33, 0.485142131449806, 0, 0, 0.316039642585647, 0.0300436213808468, 427.738283656352, 638.34, 316008993, 
20, 1, 2697, 398, 38.5298339808384, 203, 129, Accidental, 117, 24108, 313565, 408310, 11.2821700289519, 14.8355535520727, 124.178364293863, 0.380802256605965, 14.88, 0.481708619368867, 0, 0, 0.327813262871398, 0.0453779729688632, 314.544134727062, 667.83, 326831117, 
21, 1, 4705, 966, 37.4992066780251, 214, 140, Lightning, 104, 26246, 462504, 584123, 10.6223097847703, 13.9952100168407, 119.052293767661, 0.267860544865689, 17.32, 0.49538246150164, 0, 0, 0.22054168705894, 0.0297261933500957, 507.456983921359, 739.32, 581710172, 
