Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
2, ArbuMenz, eco2, 157299, 0.99, 1, 0.53, 0.32, 171.71, 0, 298, 
2, ArbuMenz, eco3, 101500, 1, 1, 0.64, 0.38, 137.45, 0, 293, 
2, Arctosta, eco1, 138892, 0.9, 1, 0.56, 0.33, 197.53, 0, 292, 
2, Arctosta, eco2, 186293, 0.94, 1, 0.64, 0.38, 172.28, 0, 298, 
2, Arctosta, eco3, 120999, 0.96, 1, 0.72, 0.43, 136.8, 0, 293, 
2, CaloDecu, eco1, 153851, 0.58, 1, 0.18, 0.11, 198.13, 0, 292, 
2, CaloDecu, eco2, 379615, 0.7, 1, 0.42, 0.25, 172.05, 0, 298, 
2, CaloDecu, eco3, 231061, 0.77, 1, 0.54, 0.32, 144.01, 0, 293, 
2, Ceanothu, eco1, 102440, 0.87, 1, 0.56, 0.33, 197.48, 0, 292, 
2, Ceanothu, eco2, 157326, 0.92, 1, 0.64, 0.39, 171.7, 0, 298, 
2, Ceanothu, eco3, 102034, 0.94, 1, 0.72, 0.43, 137.49, 0, 293, 
2, ChryChry, eco1, 48336, 0.53, 1, 0.18, 0.11, 196.96, 0, 292, 
2, ChryChry, eco2, 119584, 0.64, 1, 0.42, 0.25, 171.32, 0, 298, 
2, ChryChry, eco3, 75250, 0.72, 1, 0.55, 0.33, 142.01, 0, 293, 
2, Frangula, eco1, 48303, 0.96, 1, 0.38, 0.23, 196.98, 0, 292, 
2, Frangula, eco2, 119519, 0.98, 1, 0.53, 0.32, 171.37, 0, 298, 
2, Frangula, eco3, 75218, 0.99, 1, 0.62, 0.37, 142.01, 0, 293, 
2, Garrya, eco1, 152931, 0.71, 1, 0.49, 0.3, 198.14, 0, 292, 
2, Garrya, eco2, 378756, 0.81, 1, 0.6, 0.36, 172.07, 0, 298, 
2, Garrya, eco3, 231234, 0.88, 1, 0.67, 0.4, 143.94, 0, 293, 
2, GaulShal, eco1, 153548, 0.97, 1, 0.38, 0.23, 198.13, 0, 292, 
2, GaulShal, eco2, 379185, 0.99, 1, 0.53, 0.32, 172.07, 0, 298, 
2, GaulShal, eco3, 231073, 1, 1, 0.62, 0.37, 143.94, 0, 293, 
