SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 35983, 82114, 77800, 4, 4, 50, 842832073, 1421652040, 1335048496, 
2, 83861, 123298, 76322, 4, 6, 50, 1027620427, 1486248780, 1076458379, 
3, 32944, 114009, 77800, 5, 5, 50, 478305438, 1128186641, 907828271, 
4, 74739, 121182, 76370, 3, 5, 50, 922796739, 992025560, 792729536, 
5, 89063, 84602, 77800, 4, 6, 50, 549513809, 332645044, 663712342, 
6, 132860, 45487, 76475, 6, 4, 50, 714174041, 313399658, 582425891, 
7, 91027, 140041, 77800, 5, 7, 50, 327726654, 738417758, 623760381, 
8, 0, 118837, 77800, 0, 5, 50, 0, 383111751, 519350505, 
9, 146523, 59324, 74896, 8, 6, 50, 470132238, 168782612, 491861109, 
10, 67097, 72308, 66908, 4, 3, 43, 167284841, 163399846, 404365464, 
11, 28072, 1957, 74688, 2, 1, 48, 47937097, 1520302, 463693471, 
12, 23026, 23459, 77800, 4, 3, 50, 33064776, 50736893, 336258442, 
13, 90913, 119603, 77800, 3, 7, 50, 496289201, 266326602, 467872968, 
14, 54348, 31895, 66908, 7, 2, 43, 129293231, 24526457, 313098011, 
15, 157370, 70685, 76249, 6, 3, 50, 615550530, 252224410, 502059763, 
16, 91244, 127196, 77800, 3, 5, 50, 128199824, 348691082, 387772243, 
17, 660, 85359, 71487, 1, 4, 47, 102232, 127985750, 259813865, 
18, 0, 97029, 77800, 0, 3, 50, 0, 337360995, 250195275, 
19, 53020, 40874, 77800, 3, 2, 50, 108664663, 46946475, 293889225, 
20, 34652, 38101, 77800, 2, 2, 50, 18480039, 248959702, 306485983, 
21, 21386, 72136, 77800, 1, 2, 50, 83103752, 68075894, 190386371, 
22, 59950, 86231, 77800, 2, 3, 50, 134818746, 275939920, 243551373, 
23, 89802, 90538, 77800, 4, 4, 50, 221960619, 78054594, 157166739, 
24, 63025, 87929, 77800, 7, 8, 50, 96103155, 106693237, 198604683, 
25, 69471, 32354, 66908, 4, 1, 43, 54892301, 52423480, 161159398, 
26, 102640, 61173, 77800, 8, 3, 50, 140174541, 88360535, 205911022, 
27, 23599, 62665, 77800, 2, 4, 50, 60861987, 54076435, 208619486, 
28, 33080, 34893, 65352, 3, 5, 42, 48592403, 16825799, 175905867, 
29, 77807, 81320, 65352, 8, 5, 42, 92430075, 48286723, 157191824, 
30, 33, 91854, 77800, 2, 4, 50, 9116, 54410770, 147276377, 
31, 75783, 120190, 77800, 3, 6, 50, 58837712, 133068296, 235669798, 
32, 23071, 23, 77800, 3, 1, 50, 31877274, 229410, 214880092, 
33, 117735, 62238, 77800, 5, 2, 50, 229366442, 226271570, 196444406, 
34, 75691, 134794, 76397, 4, 5, 50, 135736792, 123870158, 290431223, 
35, 60689, 64848, 76017, 6, 6, 50, 57184575, 40546587, 191157468, 
36, 38355, 54550, 77800, 4, 4, 50, 24725036, 32468697, 132465464, 
37, 63030, 96023, 65352, 7, 4, 42, 62770867, 62283372, 151996030, 
38, 2357, 575, 77800, 4, 1, 50, 2493335, 55344, 119817839, 
39, 67693, 61659, 70020, 6, 4, 45, 42845062, 263596548, 91522106, 
40, 40530, 63938, 65352, 5, 2, 42, 64449525, 34429582, 176110236, 
41, 46342, 95572, 77800, 3, 7, 50, 32200357, 67299207, 177966461, 
42, 5775, 43429, 73132, 1, 4, 47, 903639, 31575371, 143552761, 
43, 76094, 0, 77800, 3, 0, 50, 46245494, 0, 185924630, 
44, 53435, 42422, 77800, 2, 3, 50, 43968155, 29664144, 210459523, 
45, 74526, 144359, 76301, 3, 7, 50, 72072112, 139960662, 147662369, 
46, 59733, 31195, 73132, 6, 3, 47, 46443033, 9390723, 198729428, 
47, 66092, 21418, 63159, 7, 3, 42, 121529155, 17583090, 145021397, 
48, 76905, 46260, 77800, 5, 3, 50, 43350029, 71688812, 179964412, 
49, 114348, 42746, 76298, 4, 2, 50, 145159614, 31706633, 251687434, 
50, 53475, 34664, 77800, 1, 1, 50, 54928779, 23042475, 168466139, 
51, 21922, 174209, 72548, 3, 8, 50, 2008205, 343686968, 178539704, 
