SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 57654, 41811, 0, 2, 3, 0, 977429019, 720845229, 0, 
2, 17193, 155406, 0, 1, 6, 0, 156523000, -1873505038, 0, 
3, 46990, 120325, 0, 3, 6, 0, 900677929, 1596209163, 0, 
4, 111264, 101297, 0, 6, 5, 0, 1396610031, 920254199, 0, 
5, 57319, 116431, 0, 2, 6, 0, 459055652, 1052368227, 0, 
6, 29396, 80059, 0, 3, 7, 0, 202047618, 449991048, 0, 
7, 47773, 58552, 0, 3, 2, 0, 319267117, 234512021, 0, 
8, 19962, 47346, 0, 3, 2, 0, 198284742, 196901507, 0, 
9, 46857, 127694, 0, 5, 7, 0, 342532967, 589489485, 0, 
10, 94842, 116628, 0, 4, 3, 0, 848651083, 383240844, 0, 
11, 71122, 112205, 0, 2, 4, 0, 619502727, 589966147, 0, 
12, 0, 69140, 0, 0, 7, 0, 0, 238023698, 0, 
13, 27696, 60949, 0, 3, 4, 0, 46361469, 77546781, 0, 
14, 45512, 146940, 0, 6, 6, 0, 217808727, 355020303, 0, 
15, 96290, 186668, 0, 5, 4, 0, 390527734, 1102317935, 0, 
16, 129616, 149897, 0, 5, 7, 0, 1116899074, 190570091, 0, 
17, 47542, 121871, 0, 1, 4, 0, 53635934, 116926218, 0, 
18, 104743, 92960, 0, 8, 3, 0, 289103080, 39062790, 0, 
19, 44606, 84440, 0, 7, 4, 0, 162793304, 150146108, 0, 
20, 61137, 51587, 0, 3, 7, 0, 99544267, 22407538, 0, 
21, 29256, 10163, 0, 5, 4, 0, 34495320, 11762912, 0, 
22, 82216, 3887, 0, 5, 1, 0, 501163329, 24275634, 0, 
23, 41357, 83241, 0, 4, 5, 0, 167117732, 62784858, 0, 
24, 71512, 75902, 0, 5, 5, 0, 195266384, 50115615, 0, 
25, 3591, 168620, 0, 3, 4, 0, 13376738, 813383844, 0, 
26, 45759, 87201, 0, 5, 4, 0, 79425821, 55263622, 0, 
27, 27991, 111769, 0, 3, 8, 0, 68481797, 198820919, 0, 
28, 58507, 80736, 0, 2, 6, 0, 187106380, 43855514, 0, 
29, 51571, 105705, 0, 3, 5, 0, 163696544, 215001097, 0, 
30, 97177, 24972, 0, 6, 1, 0, 198543692, 62341045, 0, 
31, 17407, 174009, 0, 2, 13, 0, 3164965, 163028094, 0, 
32, 103421, 158367, 0, 5, 7, 0, 256632198, 671598812, 0, 
33, 18528, 96962, 0, 2, 6, 0, 8769925, 127316081, 0, 
34, 114922, 30679, 0, 5, 1, 0, 222024368, 9284744, 0, 
35, 61619, 166006, 0, 4, 5, 0, 130626623, 488026725, 0, 
36, 63545, 121302, 0, 5, 5, 0, 75083254, 297706605, 0, 
37, 98662, 128278, 0, 4, 3, 0, 142447974, 184905418, 0, 
38, 122459, 132826, 0, 7, 4, 0, 378787158, 101770289, 0, 
39, 159854, 114014, 0, 4, 6, 0, 832354167, 49230864, 0, 
40, 63898, 32584, 0, 6, 4, 0, 27884055, 13182761, 0, 
41, 79488, 78103, 0, 5, 4, 0, 63493399, 32668139, 0, 
42, 23347, 71078, 0, 2, 6, 0, 38284068, 23313523, 0, 
43, 43160, 107105, 0, 6, 7, 0, 64036875, 36611343, 0, 
44, 74635, 127499, 0, 4, 8, 0, 13466935, 217879734, 0, 
45, 87313, 164805, 0, 6, 6, 0, 191306820, 459566085, 0, 
46, 65257, 74582, 0, 4, 4, 0, 32436183, 17291138, 0, 
47, 54685, 160632, 0, 3, 8, 0, 54326626, 92263517, 0, 
48, 46595, 69010, 0, 6, 8, 0, 45633104, 56154185, 0, 
49, 149433, 114536, 0, 6, 6, 0, 314823778, 72293493, 0, 
50, 154180, 170276, 0, 7, 9, 0, 530429262, 216812739, 0, 
51, 82873, 135394, 0, 7, 14, 0, 47874443, 79534046, 0, 
