IgnitionType,Mapcode,Suppress_Category_0,FWI_Break_1,Suppress_Category_1,FWI_Break_2,Suppress_Category_2
Accidental,0,0,30,0,45,0
Accidental,1,10,30,15,45,25
Accidental,2,20,30,30,45,50
Accidental,3,40,30,60,45,80
Lightning,0,0,30,0,45,0
Lightning,1,0,30,20,45,25
Lightning,2,10,30,30,45,50
Lightning,3,40,30,60,45,80
Rx,0,0,30,0,45,0
Rx,1,0,30,0,45,10
Rx,2,0,30,0,45,20
Rx,3,0,30,30,45,30
