Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ArbuMenz, eco1, 73026, 1, 1, 0.42, 0.25, 200.42, 0, 312, 
1, ArbuMenz, eco2, 191745, 1, 1, 0.59, 0.35, 166.43, 0, 320, 
1, ArbuMenz, eco3, 116766, 0.98, 1, 0.7, 0.42, 126.66, 0, 312, 
1, Arctosta, eco1, 65496, 0.99, 1, 0.56, 0.34, 200.21, 0, 312, 
1, Arctosta, eco2, 152948, 0.99, 1, 0.69, 0.41, 165.9, 0, 320, 
1, Arctosta, eco3, 116809, 1, 1, 0.77, 0.46, 125.61, 0, 312, 
1, CaloDecu, eco1, 193712, 0.88, 1, 0.3, 0.18, 205.3, 0, 312, 
1, CaloDecu, eco2, 411253, 0.88, 1, 0.5, 0.3, 166.88, 0, 320, 
1, CaloDecu, eco3, 256622, 0.96, 1, 0.65, 0.39, 127.57, 0, 312, 
1, Ceanothu, eco1, 72645, 0.98, 1, 0.56, 0.34, 200.41, 0, 312, 
1, Ceanothu, eco2, 191677, 0.98, 1, 0.69, 0.41, 166.39, 0, 320, 
1, Ceanothu, eco3, 116418, 1, 1, 0.77, 0.46, 126.66, 0, 312, 
1, ChryChry, eco1, 76842, 0.84, 1, 0.31, 0.19, 201.95, 0, 312, 
1, ChryChry, eco2, 217888, 0.84, 1, 0.5, 0.3, 166.74, 0, 320, 
1, ChryChry, eco3, 125731, 0.93, 1, 0.64, 0.39, 127.9, 0, 312, 
1, Frangula, eco1, 76903, 1, 1, 0.41, 0.25, 201.98, 0, 312, 
1, Frangula, eco2, 218424, 1, 1, 0.59, 0.35, 166.74, 0, 320, 
1, Frangula, eco3, 125366, 0.99, 1, 0.7, 0.42, 127.92, 0, 312, 
1, Garrya, eco1, 193389, 0.96, 1, 0.47, 0.28, 205.2, 0, 312, 
1, Garrya, eco2, 411244, 0.96, 1, 0.65, 0.39, 166.87, 0, 320, 
1, Garrya, eco3, 256673, 1, 1, 0.74, 0.44, 127.55, 0, 312, 
1, GaulShal, eco1, 193717, 1, 1, 0.39, 0.24, 205.24, 0, 312, 
1, GaulShal, eco2, 411707, 1, 1, 0.59, 0.35, 166.89, 0, 320, 
1, GaulShal, eco3, 256593, 0.98, 1, 0.7, 0.42, 127.57, 0, 312, 
1, MahoNerv, eco1, 193430, 1, 1, 0.47, 0.28, 205.26, 0, 312, 
1, MahoNerv, eco2, 411366, 1, 1, 0.65, 0.39, 166.86, 0, 320, 
1, MahoNerv, eco3, 256335, 1, 1, 0.74, 0.44, 127.56, 0, 312, 
1, NothDens, eco1, 194183, 0.78, 1, 0.47, 0.28, 205.3, 0, 312, 
1, NothDens, eco2, 411585, 0.79, 1, 0.65, 0.39, 166.88, 0, 320, 
1, NothDens, eco3, 256407, 0.93, 1, 0.74, 0.44, 127.56, 0, 312, 
1, PinuJeff, eco1, 72597, 0.93, 1, 0.49, 0.3, 200.52, 0, 312, 
1, PinuJeff, eco2, 191388, 0.93, 1, 0.65, 0.39, 166.46, 0, 320, 
