SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 42213, 72299, 0, 3, 4, 0, 836777569, 1115794566, 0, 
2, 32948, 52899, 0, 2, 3, 0, 352004656, 646569955, 0, 
3, 16687, 147195, 0, 2, 11, 0, 317983347, -2092940121, 0, 
4, 44521, 143263, 0, 3, 6, 0, 641548844, 1490090730, 0, 
5, 31927, 90268, 0, 2, 5, 0, 365153606, 677323233, 0, 
6, 101961, 152202, 0, 5, 5, 0, 1353224763, 1410602250, 0, 
7, 95473, 41991, 0, 4, 4, 0, 659310856, 193849576, 0, 
8, 139053, 2132, 0, 6, 1, 0, 1058156909, 17730738, 0, 
9, 42064, 201529, 0, 2, 7, 0, 241865667, 1288400249, 0, 
10, 51285, 142284, 0, 6, 7, 0, 216305463, 495175155, 0, 
11, 97048, 32313, 0, 4, 1, 0, 307873998, 206394002, 0, 
12, 52531, 85495, 0, 2, 3, 0, 139186177, 167996953, 0, 
13, 55144, 18411, 0, 3, 2, 0, 167318384, 67186979, 0, 
14, 1843, 17886, 0, 1, 1, 0, 9387137, 19932126, 0, 
15, 25502, 68284, 0, 2, 5, 0, 49150609, 114971664, 0, 
16, 83719, 137945, 0, 5, 7, 0, 414987832, 272737286, 0, 
17, 84665, 44383, 0, 5, 3, 0, 329169170, 50854038, 0, 
18, 44090, 34056, 0, 2, 2, 0, 99273053, 47473883, 0, 
19, 44791, 105437, 0, 3, 4, 0, 101889431, 412214087, 0, 
20, 78991, 69929, 0, 5, 4, 0, 360954950, 103601098, 0, 
21, 17838, 23287, 0, 2, 2, 0, 11782456, 34583957, 0, 
22, 39669, 38712, 0, 6, 6, 0, 66208559, 33744553, 0, 
23, 2843, 92995, 0, 3, 3, 0, 37854605, 129443359, 0, 
24, 58713, 60509, 0, 5, 2, 0, 70386339, 222746093, 0, 
25, 121444, 112671, 0, 8, 5, 0, 776431861, 112933769, 0, 
26, 49859, 63563, 0, 2, 2, 0, 365343796, 38403872, 0, 
27, 138131, 134493, 0, 5, 6, 0, 785299414, 164978081, 0, 
28, 5360, 59910, 0, 3, 2, 0, 28041563, 45439019, 0, 
29, 5191, 37125, 0, 2, 4, 0, 7886901, 20385805, 0, 
30, 33622, 60001, 0, 3, 4, 0, 29131391, 92612157, 0, 
31, 3468, 115425, 0, 1, 4, 0, 32376004, 116056053, 0, 
32, 138896, 65145, 0, 12, 4, 0, 367622649, 56975799, 0, 
33, 121415, 87878, 0, 5, 5, 0, 750356831, 82508634, 0, 
34, 136725, 49141, 0, 6, 2, 0, 363865682, 39688217, 0, 
35, 93268, 195258, 0, 5, 7, 0, 301479871, 1024687663, 0, 
36, 12246, 49835, 0, 3, 3, 0, 34817207, 31675430, 0, 
37, 24399, 12728, 0, 3, 1, 0, 79078082, 4882474, 0, 
38, 46762, 128525, 0, 4, 6, 0, 66769657, 330508618, 0, 
39, 61483, 98766, 0, 3, 6, 0, 76280683, 121202681, 0, 
40, 156505, 111032, 0, 6, 8, 0, 664312766, 126897538, 0, 
41, 0, 77984, 0, 0, 3, 0, 0, 235723002, 0, 
42, 36939, 82961, 0, 3, 5, 0, 63057778, 126623651, 0, 
43, 112961, 41, 0, 4, 1, 0, 90697400, 28565, 0, 
44, 37197, 0, 0, 6, 0, 0, 58813718, 0, 0, 
45, 93511, 115145, 0, 6, 6, 0, 158360336, 185860777, 0, 
46, 34507, 137650, 0, 2, 8, 0, 43581341, 428571811, 0, 
47, 52059, 44050, 0, 3, 3, 0, 108938683, 35398645, 0, 
48, 130659, 131782, 0, 5, 5, 0, 785048878, 351982071, 0, 
49, 9589, 59809, 0, 3, 4, 0, 2427346, 91607711, 0, 
50, 20328, 33718, 0, 2, 2, 0, 21790733, 20418864, 0, 
51, 47089, 48632, 0, 5, 4, 0, 68416795, 44162121, 0, 
