Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
2, ArbuMenz, eco2, 148092, 1, 1, 0.29, 0.17, 189.23, 45, 307, 
2, ArbuMenz, eco3, 90290, 0.96, 1, 0.44, 0.26, 145.31, 72, 298, 
2, Arctosta, eco1, 150661, 1, 1, 0.34, 0.21, 198.03, 67, 298, 
2, Arctosta, eco2, 162554, 0.99, 1, 0.51, 0.31, 189.88, 45, 307, 
2, Arctosta, eco3, 94938, 1, 1, 0.59, 0.35, 145.29, 72, 298, 
2, CaloDecu, eco1, 155394, 0.95, 1, 0.01, 0.01, 200.12, 67, 298, 
2, CaloDecu, eco2, 379333, 0.91, 1, 0.07, 0.04, 189.4, 45, 307, 
2, CaloDecu, eco3, 242399, 0.99, 1, 0.24, 0.15, 147.27, 72, 298, 
2, Ceanothu, eco1, 109551, 1, 1, 0.34, 0.21, 198.04, 67, 298, 
2, Ceanothu, eco2, 147671, 0.99, 1, 0.51, 0.31, 189.23, 45, 307, 
2, Ceanothu, eco3, 90418, 1, 1, 0.59, 0.35, 145.32, 72, 298, 
2, ChryChry, eco1, 42203, 0.92, 1, 0.01, 0.01, 198.95, 67, 298, 
2, ChryChry, eco2, 93688, 0.87, 1, 0.08, 0.05, 187.95, 45, 307, 
2, ChryChry, eco3, 72229, 0.97, 1, 0.25, 0.15, 146.14, 72, 298, 
2, Frangula, eco1, 42282, 1, 1, 0.05, 0.03, 198.95, 67, 298, 
2, Frangula, eco2, 93374, 1, 1, 0.3, 0.18, 187.87, 45, 307, 
2, Frangula, eco3, 72394, 0.98, 1, 0.44, 0.26, 146.12, 72, 298, 
2, Garrya, eco1, 154546, 1, 1, 0.17, 0.1, 200.17, 67, 298, 
2, Garrya, eco2, 378779, 0.98, 1, 0.44, 0.26, 189.39, 45, 307, 
2, Garrya, eco3, 242309, 1, 1, 0.53, 0.32, 147.29, 72, 298, 
2, GaulShal, eco1, 154961, 0.99, 1, 0.05, 0.03, 200.14, 67, 298, 
2, GaulShal, eco2, 379374, 1, 1, 0.29, 0.17, 189.37, 45, 307, 
2, GaulShal, eco3, 242536, 0.96, 1, 0.43, 0.26, 147.26, 72, 298, 
2, MahoNerv, eco1, 154350, 1, 1, 0.17, 0.1, 200.09, 67, 298, 
2, MahoNerv, eco2, 379580, 1, 1, 0.44, 0.26, 189.4, 45, 307, 
2, MahoNerv, eco3, 242407, 0.98, 1, 0.53, 0.32, 147.28, 72, 298, 
2, NothDens, eco1, 154618, 0.91, 1, 0.17, 0.1, 200.2, 67, 298, 
2, NothDens, eco2, 378704, 0.84, 1, 0.44, 0.26, 189.39, 45, 307, 
2, NothDens, eco3, 242379, 0.98, 1, 0.53, 0.32, 147.28, 72, 298, 
2, PinuJeff, eco1, 109737, 0.89, 1, 0.19, 0.11, 197.98, 67, 298, 
2, PinuJeff, eco2, 147886, 0.91, 1, 0.44, 0.26, 189.24, 45, 307, 
2, PinuJeff, eco3, 90311, 0.85, 1, 0.53, 0.32, 145.34, 72, 298, 
2, PinuLamb, eco1, 42411, 1, 1, 0.01, 0.01, 198.87, 67, 298, 
2, PinuLamb, eco2, 93708, 0.98, 1, 0.08, 0.05, 187.89, 45, 307, 
2, PinuLamb, eco3, 71823, 1, 1, 0.25, 0.15, 146.2, 72, 298, 
2, PinuMont, eco1, 109914, 0, 1, 0.06, 0, 198.02, 67, 298, 
2, PinuMont, eco2, 147952, 0, 1, 0.29, 0, 189.21, 45, 307, 
2, PinuMont, eco3, 90356, 0.27, 1, 0.44, 0.16, 145.32, 72, 298, 
