SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 45555, 144324, 76734, 2, 3, 50, 830392059, -1903602945, 1366748998, 
2, 51685, 73948, 76248, 6, 2, 50, 847252677, 1296715444, 990576250, 
3, 131, 80688, 77800, 3, 2, 50, 1569233, 1000039352, 897182528, 
4, 14300, 97496, 45137, 2, 7, 30, 225616699, 741646729, 472499889, 
5, 45006, 125728, 57647, 4, 6, 38, 420117690, 960335954, 610069392, 
6, 24705, 108257, 77800, 1, 4, 50, 299061359, 656717460, 644594959, 
7, 3141, 60435, 66908, 3, 6, 43, 59299520, 263174790, 510006025, 
8, 49344, 21043, 77800, 4, 4, 50, 394438911, 76952744, 610422046, 
9, 192004, 22426, 75061, 7, 1, 50, 1282006083, 82514309, 611569807, 
10, 54532, 102075, 77800, 5, 4, 50, 299143982, 297832777, 459949091, 
11, 31612, 108292, 76244, 3, 6, 49, 140997739, 395966221, 560707686, 
12, 15428, 127436, 76022, 4, 5, 50, 92155338, 598876496, 456541575, 
13, 32260, 1117, 77800, 5, 1, 50, 57017160, 4969732, 409814596, 
14, 86729, 75210, 76259, 8, 4, 50, 302542904, 132753341, 245791578, 
15, 116805, 120281, 70390, 6, 6, 46, 242859770, 221230280, 458998800, 
16, 47835, 129069, 77800, 3, 5, 50, 149268485, 157498887, 385288320, 
17, 99014, 89744, 77650, 5, 4, 50, 283444332, 152605799, 255486644, 
18, 95346, 132663, 76555, 7, 6, 50, 423219494, 159063994, 302688180, 
19, 161336, 14497, 76350, 12, 1, 50, 465216621, 10797988, 293886591, 
20, 101096, 133615, 77800, 8, 7, 50, 274375639, 112901736, 285656044, 
21, 91020, 56350, 76244, 6, 6, 49, 89544591, 20001299, 301657343, 
22, 85057, 138976, 76248, 6, 7, 50, 149578685, 85363468, 296162575, 
23, 46435, 179725, 74185, 4, 11, 50, 67802880, 358009155, 272986538, 
24, 68776, 70197, 75031, 4, 4, 49, 75318990, 43142729, 277787836, 
25, 60496, 18868, 77800, 4, 1, 50, 28449449, 6308151, 139243581, 
26, 7866, 109617, 77800, 2, 7, 50, 4219179, 50784567, 190389893, 
27, 57504, 99247, 77800, 7, 4, 50, 53600155, 146911000, 240587774, 
28, 32950, 46634, 76322, 5, 5, 50, 11745257, 25870125, 167030169, 
29, 78626, 179089, 71714, 4, 10, 48, 187149380, 86979525, 188489212, 
30, 25758, 90523, 61526, 2, 7, 40, 2292198, 95392860, 107524920, 
31, 20316, 45750, 77800, 3, 3, 50, 2658018, 17126907, 128112330, 
32, 127184, 171279, 75100, 9, 5, 50, 177364829, 199015002, 161539556, 
33, 39297, 75960, 57572, 6, 8, 37, 43281524, 24921811, 117294703, 
34, 22759, 115701, 62240, 3, 4, 40, 3649118, 121863256, 124809385, 
35, 18124, 114810, 77800, 1, 7, 50, 30138386, 28991259, 162260945, 
36, 47815, 56358, 77800, 2, 3, 50, 42048128, 14013891, 138772852, 
37, 54728, 93300, 76368, 5, 6, 50, 38010094, 21245570, 224108877, 
38, 17008, 47229, 77800, 2, 7, 50, 1095795, 9875998, 184786003, 
39, 171500, 63735, 76298, 12, 6, 50, 238175830, 25901571, 198288864, 
40, 84058, 125285, 72521, 5, 7, 47, 92393907, 57130553, 208930687, 
41, 150975, 74312, 77800, 10, 6, 50, 130718201, 75409430, 206816405, 
42, 0, 102690, 76249, 0, 5, 50, 0, 37158298, 236756546, 
43, 104007, 98079, 76246, 6, 3, 50, 338252028, 138249821, 196272615, 
44, 28796, 95691, 77800, 5, 5, 50, 18568072, 36652651, 126000245, 
45, 49034, 69200, 76546, 6, 6, 50, 19154275, 21804242, 186364416, 
46, 22973, 115309, 77800, 2, 9, 50, 7273559, 48970279, 135214392, 
47, 53015, 171039, 61416, 3, 6, 40, 41787256, 109167363, 203701303, 
48, 52469, 157645, 74894, 3, 9, 50, 30323446, 144693997, 135708871, 
49, 128944, 93401, 77800, 5, 4, 50, 86302010, 25911990, 211648054, 
50, 119108, 98906, 73132, 7, 6, 47, 151286197, 64121380, 163728311, 
51, 51813, 131834, 51357, 5, 9, 34, 27569308, 45567341, 119003453, 
