Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, ArbuMenz, eco1, 80573, 1, 1, 0.14, 0.08, 217.91, 20, 284, 
1, ArbuMenz, eco2, 191418, 1, 1, 0.36, 0.22, 227.95, 0, 333, 
1, ArbuMenz, eco3, 118616, 0.97, 1, 0.52, 0.31, 157.02, 19, 289, 
1, Arctosta, eco1, 83929, 0.99, 1, 0.35, 0.21, 218.66, 20, 284, 
1, Arctosta, eco2, 164578, 0.98, 1, 0.55, 0.33, 227.62, 0, 333, 
1, Arctosta, eco3, 123010, 1, 1, 0.64, 0.38, 154.9, 19, 289, 
1, CaloDecu, eco1, 160897, 0.92, 1, 0.03, 0.02, 218.75, 20, 284, 
1, CaloDecu, eco2, 385478, 0.84, 1, 0.15, 0.09, 228.03, 0, 333, 
1, CaloDecu, eco3, 246618, 0.98, 1, 0.38, 0.23, 158.68, 19, 289, 
1, Ceanothu, eco1, 80277, 0.99, 1, 0.35, 0.21, 217.95, 20, 284, 
1, Ceanothu, eco2, 191450, 0.97, 1, 0.55, 0.33, 228.04, 0, 333, 
1, Ceanothu, eco3, 119063, 1, 1, 0.64, 0.38, 157.04, 19, 289, 
1, ChryChry, eco1, 68529, 0.87, 1, 0.04, 0.02, 217.23, 20, 284, 
1, ChryChry, eco2, 202650, 0.8, 1, 0.15, 0.09, 228.07, 0, 333, 
1, ChryChry, eco3, 121226, 0.95, 1, 0.38, 0.23, 159.85, 19, 289, 
1, Frangula, eco1, 68145, 1, 1, 0.14, 0.08, 217.34, 20, 284, 
1, Frangula, eco2, 202688, 1, 1, 0.36, 0.22, 228.1, 0, 333, 
1, Frangula, eco3, 120884, 0.99, 1, 0.5, 0.3, 159.81, 19, 289, 
1, Garrya, eco1, 160931, 0.98, 1, 0.26, 0.16, 218.8, 20, 284, 
1, Garrya, eco2, 385197, 0.93, 1, 0.49, 0.29, 228.06, 0, 333, 
1, Garrya, eco3, 246617, 1, 1, 0.59, 0.35, 158.7, 19, 289, 
1, GaulShal, eco1, 161140, 1, 1, 0.13, 0.08, 218.79, 20, 284, 
1, GaulShal, eco2, 385575, 1, 1, 0.36, 0.22, 228.07, 0, 333, 
1, GaulShal, eco3, 246299, 0.97, 1, 0.51, 0.31, 158.67, 19, 289, 
1, MahoNerv, eco1, 160939, 1, 1, 0.26, 0.16, 218.9, 20, 284, 
1, MahoNerv, eco2, 385716, 1, 1, 0.49, 0.29, 228.08, 0, 333, 
1, MahoNerv, eco3, 246811, 0.99, 1, 0.59, 0.35, 158.72, 19, 289, 
1, NothDens, eco1, 161040, 0.85, 1, 0.26, 0.16, 218.78, 20, 284, 
1, NothDens, eco2, 385401, 0.72, 1, 0.49, 0.29, 228.04, 0, 333, 
1, NothDens, eco3, 246389, 0.96, 1, 0.59, 0.35, 158.71, 19, 289, 
1, PinuJeff, eco1, 80407, 0.91, 1, 0.27, 0.16, 217.8, 20, 284, 
1, PinuJeff, eco2, 191297, 0.94, 1, 0.49, 0.29, 227.98, 0, 333, 
