Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
1, 7, eco1, 1, 457557, 3.4, 22.3, 19.55, 3.66, 6.19, -15.88, 0, 0, 1.35, 
1, 7, eco2, 2, 903912, 4, 21.6, 37.29, 3.4, 10.06, -33.9, 0, 0, 1.56, 
1, 7, eco3, 3, 540517, 6.6, 21.5, 74.61, 7.51, 20.48, -67.1, 0, 0, 2.54, 
1, 8, eco1, 1, 457557, 0.2, 21, 5.02, 2.14, 1.99, -2.88, 0, 0, 1.03, 
1, 8, eco2, 2, 903912, 0.4, 20.5, 13.35, 1.84, 3.7, -11.51, 0, 0, 1.24, 
1, 8, eco3, 3, 540517, 0.5, 20.2, 40.28, 2.84, 10.89, -37.44, 0, 0, 1.97, 
1, 9, eco1, 1, 457557, 6.9, 18.7, 194.66, 20.48, 56.54, -174.18, 0, 0, 3.49, 
1, 9, eco2, 2, 903912, 12.3, 18.7, 224.43, 25.09, 60.95, -199.34, 0, 0, 6.81, 
1, 9, eco3, 3, 540517, 19, 18.4, 207.89, 27.27, 58.14, -180.62, 0, 0.01, 8.64, 
1, 10, eco1, 1, 457557, 19, 12.6, 143.16, 21.14, 43.83, -122.02, 0, 0.01, 10.56, 
1, 10, eco2, 2, 903912, 35.7, 13.6, 144.32, 15.55, 39.45, -128.78, 0, 0.03, 9.86, 
1, 10, eco3, 3, 540517, 50.1, 12.4, 120.15, 14.82, 34.24, -105.33, 0, 0.04, 5.84, 
1, 11, eco1, 1, 457557, 9.1, 8, 55.53, 14.09, 19.93, -41.44, 0, 0, 11.96, 
1, 11, eco2, 2, 903912, 15.1, 8.8, 61.68, 10.04, 18.22, -51.63, 0, 0.01, 13.53, 
1, 11, eco3, 3, 540517, 20, 7.9, 54.2, 9.83, 16.86, -44.36, 0, 0.01, 12.31, 
1, 12, eco1, 1, 457557, 25.3, 5.2, 26.78, 11.23, 11.75, -15.55, 0, 0.03, 11.62, 
1, 12, eco2, 2, 903912, 38.6, 6.5, 39.73, 8.15, 12.53, -31.58, 0, 0.02, 9.46, 
1, 12, eco3, 3, 540517, 49.3, 5.4, 28.83, 7.86, 10.14, -20.97, 0, 0.03, 6.24, 
1, 1, eco1, 1, 457557, 17.6, 6.1, 35.32, 11.77, 14.34, -23.56, 0, 0.02, 12.81, 
1, 1, eco2, 2, 903912, 28.2, 7.1, 43.92, 8.16, 13.78, -35.76, 0, 0.02, 11.99, 
1, 1, eco3, 3, 540517, 34.9, 6.2, 35.69, 7.85, 12.11, -27.84, 0, 0.02, 10.17, 
1, 2, eco1, 1, 457557, 17.7, 5.5, 29.67, 11.12, 12.76, -18.55, 0, 0.02, 12.69, 
1, 2, eco2, 2, 903912, 31.2, 6.4, 38.61, 7.6, 12.39, -31.01, 0, 0.02, 11.08, 
1, 2, eco3, 3, 540517, 37.2, 5.2, 26.75, 7.08, 9.7, -19.67, 0, 0.02, 9.1, 
1, 3, eco1, 1, 457557, 7.3, 6.5, 38.15, 11.85, 15.39, -26.29, 0, 0, 12.36, 
1, 3, eco2, 2, 903912, 12.3, 7, 43.35, 7.79, 13.8, -35.57, 0, 0.01, 13.6, 
1, 3, eco3, 3, 540517, 15.2, 5.8, 32.28, 7.12, 11.29, -25.16, 0, 0.01, 12.8, 
1, 4, eco1, 1, 457557, 5.4, 10.9, 68.93, 16.29, 25.19, -52.63, 0, 0, 10.27, 
1, 4, eco2, 2, 903912, 10.3, 10.5, 66.88, 9.89, 20.5, -57, 0, 0.01, 12.09, 
1, 4, eco3, 3, 540517, 13.6, 9.7, 63.36, 8.94, 20.09, -54.42, 0, 0.01, 11.07, 
1, 5, eco1, 1, 457557, 6.7, 13.1, 77.92, 18.81, 28.49, -59.11, 0, 0, 9.49, 
1, 5, eco2, 2, 903912, 13.1, 13.2, 78.34, 11.77, 23.84, -66.58, 0, 0.01, 10.87, 
1, 5, eco3, 3, 540517, 18.3, 12, 75, 10.1, 23.54, -64.9, 0, 0.01, 9.85, 
