SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 39076, 58354, 77800, 4, 3, 50, 947948810, 1074798265, 1306828652, 
2, 29737, 149928, 77800, 2, 7, 50, 442655859, -2085355820, 995812589, 
3, 96935, 115806, 76358, 5, 3, 50, 1103408015, 1186045969, 1023804167, 
4, 9264, 79931, 77800, 4, 8, 50, 108502351, 651925366, 863242044, 
5, 43517, 127170, 77800, 3, 5, 50, 499694662, 857587423, 697886537, 
6, 54770, 81264, 76244, 5, 6, 49, 454156038, 409208161, 614814992, 
7, 22870, 77875, 77800, 4, 5, 50, 101941672, 428651151, 543254039, 
8, 77077, 118824, 77800, 3, 7, 50, 575985206, 478423291, 610808899, 
9, 67532, 119180, 77472, 2, 5, 50, 351565826, 316242456, 483663940, 
10, 60496, 140933, 77800, 4, 6, 50, 379767166, 444038520, 407649455, 
11, 133772, 60127, 73307, 8, 2, 50, 564205404, 128275931, 325975083, 
12, 51283, 114581, 63846, 3, 6, 42, 163733246, 180135820, 367858387, 
13, 32117, 25712, 77800, 3, 1, 50, 200670653, 29509908, 491233068, 
14, 5755, 96773, 77800, 1, 2, 50, 28730541, 323368805, 259259264, 
15, 72843, 172027, 76297, 2, 6, 50, 130390554, 356996558, 375716152, 
16, 121311, 115294, 75083, 7, 6, 50, 270038213, 143195104, 316945931, 
17, 121697, 244468, 73588, 3, 6, 50, 367633160, 1301640893, 366848431, 
18, 36137, 38473, 68464, 1, 3, 44, 60548075, 14214406, 293019651, 
19, 17511, 97590, 56016, 2, 4, 36, 4473702, 246921536, 116646225, 
20, 67134, 32201, 77800, 4, 2, 50, 49199969, 10939198, 274978502, 
21, 15017, 81555, 63796, 4, 9, 41, 8320841, 65747913, 128267719, 
22, 76314, 100594, 77800, 3, 5, 50, 177308140, 176053845, 275337911, 
23, 5164, 52280, 77110, 2, 2, 50, 14212519, 18063947, 130830893, 
24, 101592, 106565, 77800, 8, 7, 50, 173859163, 76165917, 263802703, 
25, 133864, 159636, 77800, 5, 7, 50, 217070380, 291727597, 258969947, 
26, 113774, 58290, 77800, 8, 3, 50, 150414226, 18631449, 179075110, 
27, 34118, 73017, 74913, 2, 3, 50, 23587296, 75977582, 180721052, 
28, 50304, 93440, 76473, 4, 4, 50, 23497644, 28013763, 144437306, 
29, 67250, 128273, 76264, 4, 6, 50, 45164507, 70406495, 220503241, 
30, 41011, 48301, 70927, 6, 3, 46, 29205477, 12454964, 180494621, 
31, 5065, 147753, 57585, 1, 10, 38, 141362, 52556525, 149614106, 
32, 87270, 79282, 77800, 5, 5, 50, 198607933, 22534041, 212650554, 
33, 52386, 94366, 77800, 5, 8, 50, 61837572, 39291827, 131671409, 
34, 115698, 71475, 77629, 5, 3, 50, 233680003, 19404205, 215745211, 
35, 93793, 105380, 74935, 6, 6, 50, 213652247, 35440054, 165923455, 
36, 182948, 150053, 75540, 7, 7, 50, 304619338, 177085913, 197163420, 
37, 166355, 73155, 77800, 8, 6, 50, 112374807, 20242974, 134724768, 
38, 48082, 0, 77800, 3, 0, 50, 27442346, 0, 134703177, 
39, 90178, 200183, 76291, 4, 7, 50, 173889362, 302318207, 160115325, 
40, 32204, 61485, 63796, 4, 4, 41, 14946780, 13490976, 88731496, 
41, 11251, 45106, 77800, 2, 3, 50, 10908628, 9060478, 94542323, 
42, 45981, 62525, 60684, 4, 5, 39, 41686451, 20331215, 75274015, 
43, 77439, 45377, 77081, 5, 4, 50, 34005206, 13813636, 153400355, 
44, 97377, 117612, 57619, 6, 3, 38, 136846322, 35247779, 176106366, 
45, 40675, 165950, 76269, 2, 12, 50, 11032595, 271527115, 132258887, 
46, 84508, 71154, 77800, 7, 4, 50, 50865000, 42572348, 186305948, 
47, 23161, 98253, 77800, 3, 5, 50, 3402482, 59698585, 168067938, 
48, 87230, 34886, 68464, 12, 5, 44, 57286526, 14231331, 116961137, 
49, 89871, 118136, 77800, 3, 8, 50, 46219488, 44582078, 133089179, 
50, 88861, 90249, 77507, 5, 6, 50, 58485067, 22463131, 105563968, 
51, 121998, 93534, 76420, 10, 9, 50, 169857055, 46710505, 111393917, 
