SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 7828, 119333, 0, 1, 4, 0, 117995559, -2092991611, 0, 
2, 87848, 124051, 0, 4, 5, 0, 1663925612, 1659198144, 0, 
3, 50438, 135890, 0, 2, 5, 0, 626787187, 1243505917, 0, 
4, 57353, 32564, 0, 3, 8, 0, 392972765, 176343377, 0, 
5, 39606, 116564, 0, 2, 6, 0, 423781948, 743560825, 0, 
6, 20625, 109099, 0, 1, 5, 0, 131332341, 491666526, 0, 
7, 20739, 85987, 0, 4, 6, 0, 133880972, 274889368, 0, 
8, 16695, 83036, 0, 5, 4, 0, 276030888, 392397703, 0, 
9, 108128, 183416, 0, 10, 10, 0, 981948602, 889701037, 0, 
10, 97029, 69176, 0, 4, 2, 0, 753946674, 199564058, 0, 
11, 127846, 63049, 0, 8, 4, 0, 1003762932, 162856580, 0, 
12, 115037, 109765, 0, 6, 6, 0, 758781185, 229798391, 0, 
13, 59246, 51872, 0, 4, 2, 0, 446086358, 67574082, 0, 
14, 74375, 109850, 0, 3, 7, 0, 477477726, 262618373, 0, 
15, 81453, 83926, 0, 8, 6, 0, 131422383, 73314518, 0, 
16, 114543, 140095, 0, 7, 4, 0, 465581437, 521571509, 0, 
17, 46440, 86921, 0, 3, 5, 0, 238541356, 77080317, 0, 
18, 79027, 131615, 0, 5, 6, 0, 350631233, 194934203, 0, 
19, 62120, 130445, 0, 3, 6, 0, 280503771, 111984713, 0, 
20, 39527, 146220, 0, 2, 10, 0, 157814855, 195100316, 0, 
21, 92694, 47760, 0, 8, 3, 0, 140195329, 14604795, 0, 
22, 74719, 77244, 0, 3, 5, 0, 274167341, 34742139, 0, 
23, 32043, 186375, 0, 3, 8, 0, 13448272, 602451598, 0, 
24, 65253, 151466, 0, 3, 10, 0, 326009439, 245273280, 0, 
25, 26347, 84502, 0, 3, 4, 0, 5104805, 71690140, 0, 
26, 45921, 82448, 0, 3, 4, 0, 29638900, 123906615, 0, 
27, 112202, 49241, 0, 6, 4, 0, 297102800, 24914092, 0, 
28, 91033, 116545, 0, 9, 12, 0, 129086064, 133234364, 0, 
29, 114934, 110478, 0, 4, 3, 0, 133583342, 40118642, 0, 
30, 25291, 116582, 0, 2, 5, 0, 16110671, 124453311, 0, 
31, 54691, 107949, 0, 7, 7, 0, 59657529, 47002091, 0, 
32, 50964, 162711, 0, 2, 6, 0, 314379581, 164327900, 0, 
33, 40724, 100141, 0, 3, 7, 0, 36322530, 50418162, 0, 
34, 114065, 33627, 0, 5, 1, 0, 78679639, 7637762, 0, 
35, 101068, 124851, 0, 3, 7, 0, 313568533, 44422360, 0, 
36, 100795, 132120, 0, 3, 4, 0, 171884753, 76683268, 0, 
37, 53933, 84238, 0, 9, 5, 0, 91164191, 153952999, 0, 
38, 59895, 23646, 0, 5, 3, 0, 65502753, 5275918, 0, 
39, 54183, 8402, 0, 6, 2, 0, 168051616, 24129026, 0, 
40, 72820, 102698, 0, 3, 7, 0, 135037674, 82529983, 0, 
41, 80043, 144150, 0, 7, 7, 0, 212471030, 174132394, 0, 
42, 28543, 82627, 0, 3, 2, 0, 3856233, 18225157, 0, 
43, 148946, 90804, 0, 5, 4, 0, 293554241, 38099649, 0, 
44, 55981, 66389, 0, 4, 5, 0, 28319825, 70578071, 0, 
45, 42137, 74938, 0, 4, 5, 0, 26362946, 37120730, 0, 
46, 85539, 142588, 0, 8, 14, 0, 72190981, 108475474, 0, 
47, 46298, 139659, 0, 5, 4, 0, 143930261, 72429224, 0, 
48, 44318, 47591, 0, 5, 3, 0, 26051270, 22226658, 0, 
49, 55754, 69877, 0, 2, 2, 0, 33852531, 71244469, 0, 
50, 54617, 164811, 0, 4, 12, 0, 112900191, 207188078, 0, 
51, 26057, 89416, 0, 3, 5, 0, 16449174, 37249380, 0, 
