Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1533.5, 18275.9, 0, 4, 126.3, 
1, -780.5, 1610.4, 17300.6, 696.5, 0.46, 941, 
2, -451.7, 1692.4, 15890, 454.9, 0.43, 1576.1, 
3, -472.5, 1821.8, 15363.9, 527.3, 0.41, 1887.7, 
4, -438.1, 1955.8, 15475.7, 514.6, 0.37, 1999.4, 
5, -438.4, 2094.4, 15259.3, 526, 0.36, 2195.6, 
6, -413, 2245.7, 15332.5, 529.9, 0.37, 2293.2, 
7, -380.4, 2389.2, 15452.6, 500.9, 0.38, 2378.1, 
8, -318.7, 2541.9, 15388.3, 480.4, 0.38, 2459.2, 
9, -269.1, 2695.4, 14661, 455.9, 0.41, 2683.7, 
10, -303.3, 2861.9, 14481.5, 506.3, 0.42, 2762.8, 
11, -206.1, 3035.3, 14139.3, 464.3, 0.43, 2817.6, 
12, -215.8, 3193.1, 13889.4, 455.4, 0.46, 2869.8, 
13, -171.8, 3344.2, 13858.2, 430.6, 0.43, 2842, 
14, -207.7, 3488.5, 13762.6, 468.5, 0.47, 2852.4, 
15, -212.4, 3617.8, 13859.4, 449.6, 0.47, 2822.6, 
16, -179.7, 3750.7, 13618.9, 467.1, 0.48, 2870.5, 
17, -207, 3880.4, 13746.2, 483.5, 0.47, 2840.3, 
18, -163.5, 4008.6, 13739.5, 483.9, 0.48, 2813.6, 
19, -198.4, 4114.3, 13779.7, 456.6, 0.5, 2820, 
20, -177.4, 4217.3, 13814.5, 454.8, 0.49, 2808.6, 
21, -158.2, 4305.3, 13854.1, 371.8, 0.54, 2829.7, 
22, -183.9, 4412.9, 13966.3, 475.2, 0.51, 2816.3, 
23, -135.2, 4509.3, 13852.2, 432.9, 0.53, 2840.8, 
24, -65.6, 4605, 13687.8, 381.9, 0.55, 2845.6, 
25, -133.3, 4698.1, 13867.6, 459.5, 0.58, 2779.1, 
26, -159.8, 4788.2, 14077.1, 502.3, 0.62, 2731.3, 
27, -167.4, 4866.1, 14160.4, 479.8, 0.62, 2731.8, 
28, -138.4, 4946.2, 14248.6, 473.1, 0.66, 2718.6, 
29, -98.2, 5018.8, 14305.4, 424.4, 0.7, 2699.6, 
30, -119, 5084, 14334.8, 412.4, 0.71, 2693.3, 
31, -130, 5150.5, 14453.7, 443.5, 0.75, 2684, 
32, -125.2, 5215.6, 14414.2, 472.1, 0.76, 2707, 
33, -137.4, 5276.2, 14507.9, 422.8, 0.83, 2713.9, 
34, -141.7, 5343.9, 14697.4, 500.3, 0.86, 2687.6, 
35, -175.8, 5403.7, 14682.2, 477.4, 0.93, 2740.1, 
36, -159.1, 5470.3, 14766.7, 492.7, 0.95, 2757, 
37, -153.3, 5529.3, 14828.2, 472.1, 0.97, 2777.3, 
38, -129.1, 5592.1, 15009.8, 502.6, 1, 2745.1, 
39, -139.2, 5651.7, 15145.3, 520.9, 0.99, 2732.6, 
40, -137.2, 5704.1, 15162.4, 458.7, 1.02, 2756, 
41, -125.2, 5757.3, 15064.3, 420.4, 1.03, 2817.6, 
42, -161.5, 5818.1, 15260.5, 501.2, 1.01, 2812, 
43, -190.4, 5876.5, 15302, 520.9, 1.12, 2864.1, 
44, -116.9, 5941, 15433.6, 492.7, 1.16, 2843.3, 
45, -151.7, 5997.6, 15559.1, 506.8, 1.21, 2837.6, 
46, -151.9, 6050.9, 15595.2, 461.3, 1.28, 2878.3, 
47, -122.8, 6113.1, 15681.3, 520.4, 1.24, 2880.3, 
48, -120.3, 6169.3, 15867.7, 533.1, 1.33, 2844.9, 
49, -76.2, 6215.2, 15981.5, 515.7, 1.38, 2808.5, 
50, -124.6, 6262.1, 15946.7, 498.7, 1.4, 2848.1, 
51, -132.2, 6306.7, 16055.8, 488.7, 1.43, 2856.7, 
