Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1987, eco2, 2, 317.16, 11.79, 0, 365, 0, 
1988, eco2, 2, 261.49, 11.39, 0, 320, 0, 
1989, eco2, 2, 276.79, 10.6, 0, 302, 0, 
1990, eco2, 2, 282.34, 10.52, 67, 321, 0, 
1991, eco2, 2, 239.25, 11.87, 20, 321, 0, 
1992, eco2, 2, 268.22, 11.71, 0, 365, 0, 
1993, eco2, 2, 235.09, 11.99, 0, 314, 0, 
1994, eco2, 2, 262.71, 10.84, 47, 305, 0, 
1995, eco2, 2, 224.94, 11.03, 0, 309, 0, 
1996, eco2, 2, 273.68, 12.68, 0, 314, 0, 
1997, eco2, 2, 303.79, 11.54, 49, 315, 0, 
1998, eco2, 2, 232.07, 12.77, 0, 314, 0, 
1999, eco2, 2, 262.74, 12.21, 0, 303, 0, 
2000, eco2, 2, 276.79, 10.6, 0, 302, 0, 
1950, eco3, 3, 335.33, 12.7, 15, 319, 0, 
1951, eco3, 3, 444.36, 10.23, 82, 297, 0, 
1952, eco3, 3, 337.88, 10.63, 0, 309, 0, 
1953, eco3, 3, 284.86, 10.85, 69, 310, 0, 
1954, eco3, 3, 276.82, 11.75, 76, 303, 0, 
1955, eco3, 3, 492.06, 10.52, 84, 290, 0, 
1956, eco3, 3, 451.68, 10.24, 0, 328, 0, 
1957, eco3, 3, 451.68, 10.24, 0, 328, 0, 
1958, eco3, 3, 276.82, 11.75, 76, 303, 0, 
1959, eco3, 3, 301.31, 11.75, 0, 306, 0, 
1960, eco3, 3, 442.24, 9.89, 61, 295, 0, 
1961, eco3, 3, 347.73, 11.23, 0, 315, 0, 
1962, eco3, 3, 422.19, 10.56, 0, 318, 0, 
1963, eco3, 3, 309.41, 11.13, 28, 321, 0, 
1964, eco3, 3, 385.05, 11.06, 73, 305, 0, 
1965, eco3, 3, 333.07, 10.79, 48, 312, 0, 
1966, eco3, 3, 304.7, 12.02, 17, 299, 0, 
1967, eco3, 3, 337.88, 10.63, 0, 309, 0, 
1968, eco3, 3, 297.97, 11.5, 82, 307, 0, 
