SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 31920, 77046, 7005, 3, 5, 15, 712323444, 1462216539, 127319450, 
2, 15536, 46860, 7005, 1, 4, 15, 243326364, 679417113, 111624026, 
3, 68609, 63482, 7005, 5, 2, 15, 1163788880, 800532919, 99806156, 
4, 20107, 98498, 7005, 2, 6, 15, 376583210, 1178403239, 97174764, 
5, 150863, 150509, 7005, 7, 9, 15, 1730825269, 1373909021, 103531342, 
6, 76814, 72733, 7005, 11, 6, 15, 663512673, 518764381, 72699648, 
7, 63602, 123431, 7005, 4, 7, 15, 454787412, 637286564, 70730290, 
8, 46329, 85864, 7005, 5, 2, 15, 215802521, 315342984, 85778782, 
9, 85867, 116709, 7005, 2, 8, 15, 474656516, 476773300, 101550868, 
10, 3392, 81891, 7005, 2, 5, 15, 11196338, 292817058, 77334954, 
11, 4437, 162832, 7005, 2, 9, 15, 41958491, 578188909, 54758248, 
12, 80234, 81524, 7005, 5, 7, 15, 656183893, 184866962, 47518404, 
13, 90181, 82899, 7005, 2, 4, 15, 811745955, 117462242, 57133117, 
14, 49321, 57867, 7005, 6, 5, 15, 169219915, 142286059, 73521702, 
15, 154688, 78816, 7005, 5, 3, 15, 814305876, 73812507, 87978744, 
16, 4862, 108757, 7005, 2, 4, 15, 24769924, 683406573, 36119004, 
17, 99572, 86981, 7005, 6, 4, 15, 725109585, 97019054, 84299760, 
18, 71328, 35088, 7005, 3, 1, 15, 109106652, 16783827, 55237007, 
19, 9466, 112617, 7005, 4, 5, 15, 30457057, 401670071, 74836368, 
20, 37180, 109371, 7005, 2, 3, 15, 40452420, 132873024, 51035358, 
21, 26769, 86619, 7005, 4, 9, 15, 63256045, 61112195, 34937733, 
22, 117197, 82306, 7005, 8, 3, 15, 607492387, 55552183, 65730865, 
23, 23399, 132716, 7005, 4, 4, 15, 68589393, 65065377, 46648388, 
24, 54724, 41231, 7005, 3, 2, 15, 224836797, 13337144, 39337976, 
25, 72719, 97258, 7005, 3, 4, 15, 97174071, 46889598, 69257099, 
26, 50628, 119112, 7005, 6, 6, 15, 62863077, 41475093, 66659861, 
27, 114760, 75235, 7005, 6, 5, 15, 214797687, 90546149, 41976030, 
28, 41, 170382, 7005, 1, 8, 15, 54209, 378402470, 49603751, 
29, 105168, 98489, 7005, 6, 4, 15, 212508607, 37193046, 43250864, 
30, 46888, 64050, 7005, 4, 5, 15, 27449011, 37331892, 41583241, 
31, 22325, 157751, 7005, 2, 8, 15, 47111190, 277919655, 18547226, 
32, 46680, 200190, 7005, 3, 10, 15, 157178220, 305648793, 52808139, 
33, 23242, 138500, 7005, 2, 8, 15, 62353632, 154730316, 42926620, 
34, 19182, 80106, 7005, 3, 3, 15, 16712953, 24452281, 51916675, 
35, 28998, 136461, 7005, 2, 5, 15, 81741531, 35346118, 51945199, 
36, 61153, 205887, 7005, 4, 7, 15, 253086121, 359364888, 41223943, 
37, 59860, 119339, 7005, 4, 5, 15, 45940318, 36521376, 39362936, 
38, 154453, 43500, 7005, 9, 1, 15, 299849457, 364756883, 50271291, 
39, 54811, 233174, 7005, 3, 11, 15, 335811105, 697019190, 54168119, 
40, 19871, 90889, 7005, 3, 5, 15, 6787924, 47057045, 52784768, 
41, 35501, 28274, 7005, 3, 2, 15, 19671671, 57156637, 58606794, 
42, 73893, 118604, 7005, 9, 10, 15, 106617028, 29342367, 42996091, 
43, 106046, 121717, 7005, 4, 4, 15, 627357838, 37928680, 91549345, 
44, 25799, 148831, 7005, 5, 6, 15, 61225671, 106181198, 73317626, 
45, 97470, 106240, 7005, 5, 3, 15, 322284227, 174559425, 36727943, 
46, 64354, 108884, 7005, 4, 5, 15, 69599110, 23550831, 38471285, 
47, 71668, 48744, 7005, 11, 5, 15, 52151213, 5822838, 41403386, 
48, 87058, 62953, 7005, 10, 7, 15, 80472230, 12607677, 47880060, 
49, 146926, 68875, 7005, 6, 3, 15, 328804735, 10967178, 41570304, 
50, 142220, 115269, 7005, 9, 8, 15, 154977661, 297834810, 51599174, 
51, 151843, 84875, 7005, 10, 7, 15, 184264197, 14507860, 24085179, 
